player_name,draft_year,college,season,player_rec_yards,team_rec_yards,dominator_rating
Cornell Powell,2021,Clemson,2020,882.0,4182.0,21.09038737446198
Frank Darby,2021,Arizona State,2020,46.0,777.0,5.9202059202059205
Marquez Stevenson,2021,Houston,2020,307.0,2126.0,14.440263405456255
Shi Smith,2021,South Carolina,2020,621.0,1872.0,33.17307692307692
Racey McMath,2021,LSU,2020,195.0,3121.0,6.247997436719
Jalen Camp,2021,Georgia Tech,2020,392.0,1991.0,19.688598694123556
Seth Williams,2021,Auburn,2020,744.0,2422.0,30.718414533443433
Dazz Newsome,2021,North Carolina,2020,684.0,3617.0,18.910699474702792
Mike Strachan,2021,Charleston (WV),2020,,,
Tre Nixon,2021,UCF,2020,258.0,3521.0,7.327463788696393
Ben Skowronek,2021,Notre Dame,2020,439.0,2849.0,15.408915408915409
Kawaan Baker,2021,South Alabama,2020,656.0,2718.0,24.13539367181751
Dax Milne,2021,BYU,2020,1189.0,3984.0,29.84437751004016
Drake London,2022,USC,2021,1084.0,3580.0,30.27932960893855
Garrett Wilson,2022,Ohio State,2021,1058.0,4952.0,21.365105008077546
Chris Olave,2022,Ohio State,2021,936.0,4952.0,18.901453957996768
Jameson Williams,2022,Alabama,2021,1572.0,5073.0,30.987581312832646
Jahan Dotson,2022,Penn State,2021,1182.0,3491.0,33.858493268404466
Treylon Burks,2022,Arkansas,2021,1104.0,2781.0,39.69795037756203
Christian Watson,2022,North Dakota State,2021,801.0,,
Wan'Dale Robinson,2022,Kentucky,2021,1334.0,2933.0,45.48244118649847
John Metchie,2022,Alabama,2021,1142.0,5073.0,22.511334516065446
Tyquan Thornton,2022,Baylor,2021,948.0,2843.0,33.34505803728456
George Pickens,2022,Georgia,2021,107.0,3778.0,2.832186341979883
Alec Pierce,2022,Cincinnati,2021,884.0,3377.0,26.177080248741486
Skyy Moore,2022,Western Michigan,2021,1292.0,3297.0,39.1871398240825
Velus Jones Jr.,2022,Tennessee,2021,807.0,3342.0,24.14721723518851
Jalen Tolbert,2022,South Alabama,2021,1474.0,3072.0,47.98177083333333
David Bell,2022,Purdue,2021,1286.0,4620.0,27.835497835497836
Danny Gray,2022,SMU,2021,803.0,3654.0,21.975916803503008
Erik Ezukanma,2022,Texas Tech,2021,705.0,3344.0,21.082535885167463
Romeo Doubs,2022,Nevada,2021,1109.0,4511.0,24.58434936821104
Calvin Austin III,2022,Memphis,2021,1149.0,3585.0,32.05020920502092
Khalil Shakir,2022,Boise State,2021,1117.0,3127.0,35.72113847137832
Montrell Washington,2022,Samford,2021,124.0,,
Kyle Philips,2022,UCLA,2021,739.0,2714.0,27.229182019159914
Jalen Nailor,2022,Michigan State,2021,695.0,3298.0,21.07337780473014
Michael Woods II,2022,Oklahoma,2021,400.0,3425.0,11.678832116788321
Bo Melton,2022,Rutgers,2021,618.0,2229.0,27.725437415881558
Dareke Young,2022,Lenoir-Rhyne,2021,303.0,,
Samori Toure,2022,Nebraska,2021,898.0,3197.0,28.088833281201126
Jaxon Smith-Njigba,2023,Ohio State,2022,43.0,3878.0,1.10881897885508
Quentin Johnston,2023,TCU,2022,1069.0,3926.0,27.228731533367295
Zay Flowers,2023,Boston Col.,2022,1077.0,2965.0,36.323777403035415
Jordan Addison,2023,USC,2022,875.0,4694.0,18.64081806561568
Jonathan Mingo,2023,Mississippi,2022,862.0,3118.0,27.645926876202694
Jayden Reed,2023,Michigan State,2022,636.0,2880.0,22.083333333333332
Rashee Rice,2023,SMU,2022,1355.0,4117.0,32.91231479232451
Marvin Mims,2023,Oklahoma,2022,1083.0,3310.0,32.7190332326284
Tank Dell,2023,Houston,2022,1398.0,4082.0,34.24791768740813
Jalin Hyatt,2023,Tennessee,2022,1267.0,4239.0,29.889124793583395
Cedric Tillman,2023,Tennessee,2022,417.0,4239.0,9.83722576079264
Josh Downs,2023,North Carolina,2022,1029.0,4330.0,23.76443418013857
Michael Wilson,2023,Stanford,2022,418.0,3051.0,13.700426089806623
Tre Tucker,2023,Cincinnati,2022,672.0,3155.0,21.299524564183837
Derius Davis,2023,TCU,2022,531.0,3926.0,13.525216505348956
Charlie Jones,2023,Purdue,2022,1361.0,3895.0,34.942233632862646
Tyler Scott,2023,Cincinnati,2022,899.0,3155.0,28.494453248811407
Justin Shorter,2023,Florida,2022,577.0,2910.0,19.828178694158076
Dontayvion Wicks,2023,Virginia,2022,430.0,2210.0,19.457013574660635
Puka Nacua,2023,BYU,2022,625.0,3246.0,19.254467036352434
Parker Washington,2023,Penn State,2022,611.0,3283.0,18.6110265001523
Kayshon Boutte,2023,LSU,2022,538.0,3770.0,14.270557029177718
Trey Palmer,2023,Nebraska,2022,1043.0,2650.0,39.35849056603774
A.T. Perry,2023,Wake Forest,2022,1096.0,4055.0,27.028360049321826
Elijah Higgins,2023,Stanford,2022,704.0,3051.0,23.07440183546378
Xavier Hutchinson,2023,Iowa State,2022,1171.0,3141.0,37.28112066220949
Andrei Iosivas,2023,Princeton,2022,943.0,,
DeMario Douglas,2023,Liberty,2022,993.0,2815.0,35.2753108348135
Antoine Green,2023,North Carolina,2022,798.0,4330.0,18.42956120092379
Colton Dowell,2023,UT Martin,2022,1032.0,,
Jalen Brooks,2023,South Carolina,2022,504.0,3379.0,14.915655519384433
Ronnie Bell,2023,Michigan,2022,889.0,3078.0,28.88239116309292
Grant Dubose,2023,Charlotte,2022,792.0,3254.0,24.339274738783036
