method1_final_only,method2_final_age,method3_best_only,method4_best_age,method5_earliest,player_name,draft_year,pick,best_ppg,hit24,num_seasons,final_year,final_yards,best_year,best_yards
0.4899328859060403,0.44093959731543625,0.9100719424460432,0.9100719424460432,0.506159420289855,Leonard Fournette,2017,4,17.04705882352941,1,3,2016,146,2015,253
1.019736842105263,1.019736842105263,2.0283018867924527,2.2311320754716983,0.7905511811023621,Christian McCaffrey,2017,8,28.25294117647059,1,3,2016,310,2015,645
1.159144893111639,1.0432304038004752,1.159144893111639,1.0432304038004752,0.4327519379844961,Dalvin Cook,2017,41,19.87058823529412,1,3,2016,488,2016,488
1.4010416666666667,1.4010416666666667,1.4010416666666667,1.4010416666666667,0.8920273348519363,Joe Mixon,2017,48,20.51764705882353,1,2,2016,538,2016,538
1.0343007915567282,0.9308707124010553,1.0343007915567282,0.9308707124010553,0.784366576819407,Alvin Kamara,2017,67,24.170588235294115,1,2,2016,392,2016,392
0.9527186761229315,0.8574468085106384,0.9527186761229315,0.8574468085106384,0.8574468085106384,Kareem Hunt,2017,86,18.17058823529412,1,3,2016,403,2016,403
0.1865671641791045,0.1865671641791045,0.25396825396825395,0.27936507936507937,0.1865671641791045,D'Onta Foreman,2017,89,7.705882352941177,0,3,2016,75,2015,64
0.9320987654320988,0.8388888888888889,0.9320987654320988,0.8388888888888889,0.8388888888888889,James Conner,2017,105,16.470588235294116,1,3,2016,302,2016,302
0.2760416666666667,0.2760416666666667,0.27979274611398963,0.33575129533678755,0.2760416666666667,Samaje Perine,2017,114,9.729411764705883,0,3,2016,106,2014,108
0.1941747572815534,0.17475728155339806,0.1941747572815534,0.17475728155339806,0.17475728155339806,Jamaal Williams,2017,134,13.288235294117648,1,2,2016,80,2016,80
0.24165341812400637,0.21748807631160574,0.4034090909090909,0.4034090909090909,0.4034090909090909,Wayne Gallman,2017,140,8.035294117647059,0,3,2016,152,2015,213
0.6340782122905028,0.6340782122905028,0.6340782122905028,0.6340782122905028,0.5274725274725275,Marlon Mack,2017,143,12.123529411764707,1,3,2016,227,2016,227
0.17678100263852242,0.17678100263852242,0.544,0.6528,0.6528,Brian Hill,2017,156,5.611764705882353,0,3,2016,67,2014,204
1.167487684729064,1.167487684729064,1.167487684729064,1.167487684729064,0.4124168514412417,Jeremy McNichols,2017,162,4.329411764705883,0,3,2016,474,2016,474
