player_name,draft_year,college,season,cfbd_name,player_rec_yards,player_rec_tds,player_receptions,team_rec_yards,team_rec_tds,dominator_rating
George Pickens,2022,Georgia,2019,George Pickens,727.0,8.0,49.0,3122.0,26.0,27.0
George Pickens,2022,Georgia,2020,George Pickens,513.0,6.0,36.0,2496.0,19.0,26.1
George Pickens,2022,Georgia,2021,George Pickens,107.0,0.0,5.0,3778.0,39.0,1.4
Alec Pierce,2022,Cincinnati,2019,Alec Pierce,652.0,2.0,37.0,2552.0,19.0,18.0
Alec Pierce,2022,Cincinnati,2020,Alec Pierce,315.0,3.0,17.0,2386.0,20.0,14.1
Alec Pierce,2022,Cincinnati,2021,Alec Pierce,884.0,8.0,52.0,3377.0,33.0,25.2
Skyy Moore,2022,Western Michigan,2019,Skyy Moore,802.0,3.0,51.0,3128.0,21.0,20.0
Skyy Moore,2022,Western Michigan,2020,Skyy Moore,389.0,3.0,24.0,1704.0,18.0,19.7
Skyy Moore,2022,Western Michigan,2021,Skyy Moore,1292.0,10.0,95.0,3297.0,23.0,41.3
Velus Jones Jr.,2022,Tennessee,2020,Velus Jones Jr.,280.0,3.0,22.0,2047.0,14.0,17.6
Velus Jones Jr.,2022,Tennessee,2021,Velus Jones Jr.,807.0,7.0,62.0,3342.0,33.0,22.7
Jalen Tolbert,2022,South Alabama,2018,Jalen Tolbert,60.0,0.0,5.0,2439.0,19.0,1.2
Jalen Tolbert,2022,South Alabama,2019,Jalen Tolbert,521.0,6.0,27.0,1906.0,14.0,35.1
Jalen Tolbert,2022,South Alabama,2020,Jalen Tolbert,1086.0,8.0,64.0,2718.0,18.0,42.2
Jalen Tolbert,2022,South Alabama,2021,Jalen Tolbert,1474.0,8.0,82.0,3072.0,22.0,42.2
David Bell,2022,Purdue,2019,David Bell,1035.0,7.0,86.0,3719.0,29.0,26.0
David Bell,2022,Purdue,2020,David Bell,625.0,8.0,53.0,1854.0,15.0,43.5
David Bell,2022,Purdue,2021,David Bell,1286.0,6.0,93.0,4620.0,35.0,22.5
Danny Gray,2022,SMU,2020,Danny Gray,448.0,4.0,33.0,3180.0,23.0,15.7
Danny Gray,2022,SMU,2021,Danny Gray,803.0,9.0,49.0,3654.0,39.0,22.5
Erik Ezukanma,2022,Texas Tech,2018,Erik Ezukanma,48.0,1.0,2.0,4231.0,28.0,2.4
Erik Ezukanma,2022,Texas Tech,2019,Erik Ezukanma,664.0,4.0,42.0,3896.0,24.0,16.9
Erik Ezukanma,2022,Texas Tech,2020,Erik Ezukanma,739.0,6.0,45.0,2649.0,18.0,30.6
Erik Ezukanma,2022,Texas Tech,2021,Erik Ezukanma,705.0,4.0,48.0,3344.0,18.0,21.7
Romeo Doubs,2022,Nevada,2018,Romeo Doubs,562.0,2.0,43.0,3595.0,25.0,11.8
Romeo Doubs,2022,Nevada,2019,Romeo Doubs,649.0,4.0,44.0,3238.0,14.0,24.3
Romeo Doubs,2022,Nevada,2020,Romeo Doubs,985.0,8.0,56.0,2857.0,26.0,32.6
Romeo Doubs,2022,Nevada,2021,Romeo Doubs,1109.0,11.0,80.0,4511.0,38.0,26.8
Calvin Austin III,2022,Memphis,2018,Calvin Austin III,24.0,0.0,2.0,3405.0,28.0,0.4
Calvin Austin III,2022,Memphis,2019,Calvin Austin III,315.0,3.0,17.0,4177.0,33.0,8.3
Calvin Austin III,2022,Memphis,2020,Calvin Austin III,1053.0,11.0,63.0,3383.0,31.0,33.3
Calvin Austin III,2022,Memphis,2021,Calvin Austin III,1149.0,8.0,74.0,3585.0,26.0,31.4
Khalil Shakir,2022,Boise State,2018,Khalil Shakir,170.0,1.0,16.0,3796.0,31.0,3.9
Khalil Shakir,2022,Boise State,2019,Khalil Shakir,872.0,6.0,63.0,3664.0,31.0,21.6
Khalil Shakir,2022,Boise State,2020,Khalil Shakir,719.0,6.0,52.0,1693.0,12.0,46.2
Khalil Shakir,2022,Boise State,2021,Khalil Shakir,1117.0,7.0,77.0,3127.0,20.0,35.4
