player_name,draft_year,college,pick,season_used,player_rec_yards,player_rec_tds,team_rec_yards,team_rec_tds,yards_market_share,td_market_share,dominator_rating,dominator_pct,status
Jaleel Scott,2018,New Mexico St.,132,2017,1079.0,9.0,4459.0,29.0,0.2419825072886297,0.3103448275862069,0.2761636674374183,27.616366743741832,calculated
J'Mon Moore,2018,Missouri,133,2017,1082.0,10.0,4012.0,44.0,0.269690927218345,0.2272727272727272,0.2484818272455361,24.848182724553613,calculated
Justin Watson,2018,Pennsylvania,144,2017,,,,,,,,,fcs_school
Daurice Fountain,2018,Northern Iowa,159,2017,,,,,,,,,fcs_school
Jordan Lasley,2018,UCLA,162,2017,1264.0,9.0,4439.0,31.0,0.2847488173011939,0.2903225806451613,0.2875356989731776,28.753569897317767,calculated
Marquez Valdes-Scantling,2018,South Florida,174,2017,879.0,6.0,2987.0,25.0,0.2942751925008369,0.24,0.2671375962504184,26.713759625041845,calculated
Damion Ratley,2018,Texas A&M,175,2017,694.0,6.0,3266.0,22.0,0.2124923453766074,0.2727272727272727,0.24260980905194,24.260980905194007,calculated
Deon Cain,2018,Clemson,185,2017,734.0,6.0,3297.0,17.0,0.2226266302699423,0.3529411764705882,0.2877839033702653,28.778390337026533,calculated
Ray-Ray McCloud,2018,Clemson,187,2017,503.0,1.0,3297.0,17.0,0.1525629360024264,0.0588235294117647,0.1056932327070955,10.569323270709557,calculated
Dylan Cantrell,2018,Texas Tech,191,2017,816.0,7.0,4338.0,35.0,0.1881051175656984,0.2,0.1940525587828492,19.40525587828493,calculated
Russell Gage,2018,LSU,194,2017,285.0,3.0,2645.0,17.0,0.107750472589792,0.1764705882352941,0.1421105304125431,14.21105304125431,calculated
Tremon Smith,2018,Central Arkansas,196,2017,,,,,,,,,fcs_school
Equanimeous St. Brown,2018,Notre Dame,207,2017,515.0,4.0,2327.0,20.0,0.2213149978513107,0.2,0.2106574989256553,21.06574989256553,calculated
Cedrick Wilson Jr.,2018,Boise St.,208,2017,1511.0,7.0,3677.0,26.0,0.4109328256731031,0.2692307692307692,0.3400817974519361,34.008179745193615,calculated
Braxton Berrios,2018,Miami (FL),210,2017,670.0,9.0,3144.0,26.0,0.2131043256997455,0.3461538461538461,0.2796290859267958,27.962908592679582,calculated
Javon Wims,2018,Georgia,224,2017,724.0,7.0,2653.0,24.0,0.2728986053524312,0.2916666666666667,0.2822826360095489,28.228263600954897,calculated
Marcell Ateman,2018,Oklahoma St.,228,2017,1156.0,8.0,5059.0,37.0,0.2285036568491796,0.2162162162162162,0.2223599365326979,22.235993653269794,calculated
Richie James,2018,Middle Tenn. St.,240,2017,290.0,3.0,3264.0,23.0,0.0888480392156862,0.1304347826086956,0.1096414109121909,10.964141091219096,calculated
Auden Tate,2018,Florida St.,253,2017,548.0,10.0,2551.0,21.0,0.2148177185417483,0.4761904761904761,0.3455040973661122,34.55040973661123,calculated
