player_id,player_name,rec_yards,receptions,rec_tds,games_rec,rush_yards,rush_att,rush_tds,games_rush,games,fantasy_ppr,ppg
00-0037838,I.Likely,307.0,27.0,1.0,11.0,0.0,0.0,0.0,0.0,11.0,63.7,5.790909090909091
00-0040078,B.Smith,172.0,25.0,1.0,12.0,151.0,44.0,0.0,11.0,12.0,63.3,5.2749999999999995
00-0039074,D.Allen,208.0,24.0,3.0,15.0,0.0,0.0,0.0,0.0,15.0,62.8,4.1866666666666665
00-0037746,B.Robinson,25.0,8.0,0.0,8.0,400.0,92.0,2.0,15.0,15.0,62.5,4.166666666666667
00-0036945,J.Fields,0.0,0.0,0.0,1.0,383.0,73.0,4.0,9.0,9.0,62.3,6.922222222222222
00-0036355,J.Herbert,0.0,0.0,0.0,0.0,498.0,84.0,2.0,16.0,16.0,61.8,3.8625
00-0032464,K.Raymond,289.0,24.0,1.0,12.0,19.0,2.0,0.0,2.0,12.0,60.8,5.066666666666666
00-0038705,E.Demercado,101.0,13.0,1.0,10.0,312.0,44.0,0.0,11.0,11.0,60.3,5.4818181818181815
00-0039041,E.Higgins,301.0,30.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,60.1,4.006666666666667
00-0038979,C.Tillman,270.0,21.0,2.0,12.0,0.0,0.0,0.0,0.0,12.0,60.0,5.0
00-0040202,D.Neal,104.0,17.0,0.0,7.0,206.0,57.0,2.0,8.0,8.0,60.0,7.5
00-0038115,D.Bellinger,286.0,19.0,2.0,12.0,0.0,0.0,0.0,0.0,12.0,59.6,4.966666666666667
00-0032392,A.Hooper,263.0,21.0,2.0,13.0,0.0,0.0,0.0,0.0,13.0,59.3,4.561538461538461
00-0040648,T.Horton,161.0,13.0,5.0,7.0,0.0,0.0,0.0,0.0,7.0,59.1,8.442857142857143
00-0039875,R.Davis,86.0,10.0,2.0,9.0,275.0,58.0,0.0,10.0,10.0,58.1,5.8100000000000005
00-0034775,C.Kirk,239.0,28.0,1.0,11.0,0.0,0.0,0.0,0.0,11.0,57.9,5.263636363636364
00-0039337,M.Nabers,271.0,18.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,57.1,14.275
00-0029892,K.Juszczyk,213.0,24.0,2.0,15.0,-3.0,2.0,0.0,2.0,15.0,57.0,3.8
00-0032775,D.Robinson,276.0,22.0,1.0,14.0,6.0,1.0,0.0,1.0,14.0,56.2,4.014285714285714
00-0038454,K.Mitchell,63.0,9.0,0.0,7.0,341.0,59.0,1.0,12.0,12.0,55.4,4.616666666666666
00-0035249,J.Oliver,160.0,15.0,4.0,12.0,0.0,0.0,0.0,0.0,12.0,55.0,4.583333333333333
00-0040198,O.Gordon,32.0,7.0,1.0,8.0,199.0,70.0,3.0,16.0,16.0,54.099999999999994,3.3812499999999996
00-0039356,J.Sanders,190.0,29.0,1.0,11.0,0.0,0.0,0.0,0.0,11.0,54.0,4.909090909090909
00-0038555,T.Bigsby,32.0,3.0,0.0,4.0,356.0,63.0,2.0,11.0,11.0,53.800000000000004,4.8909090909090915
00-0033040,T.Hill,265.0,21.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,53.5,13.375
00-0036550,R.Bateman,224.0,19.0,2.0,13.0,0.0,0.0,0.0,0.0,13.0,53.4,4.107692307692307
00-0040194,J.Hawes,187.0,16.0,3.0,13.0,0.0,0.0,0.0,0.0,13.0,52.7,4.053846153846154
00-0040782,I.Bond,317.0,18.0,0.0,14.0,29.0,5.0,0.0,5.0,14.0,52.6,3.757142857142857
00-0036988,J.Palmer,303.0,22.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,52.3,4.358333333333333
00-0040737,T.Ferguson,231.0,11.0,3.0,10.0,0.0,1.0,0.0,1.0,10.0,52.1,5.21
00-0031236,B.Cooks,279.0,24.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,51.9,3.9923076923076923
00-0036626,D.Brown,227.0,20.0,1.0,10.0,30.0,6.0,0.0,5.0,10.0,51.7,5.17
00-0033375,T.Patrick,187.0,15.0,3.0,13.0,0.0,0.0,0.0,0.0,13.0,51.7,3.976923076923077
00-0039874,J.Wright,44.0,5.0,0.0,5.0,288.0,70.0,2.0,9.0,9.0,50.2,5.577777777777778
00-0037741,J.Dotson,262.0,18.0,1.0,14.0,0.0,0.0,0.0,0.0,14.0,50.2,3.585714285714286
00-0039355,L.McCaffrey,203.0,11.0,3.0,7.0,0.0,0.0,0.0,0.0,7.0,49.3,7.042857142857143
00-0039144,L.Musgrave,252.0,24.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,49.2,3.784615384615385
00-0040131,K.Williams,209.0,10.0,3.0,11.0,3.0,2.0,0.0,2.0,11.0,49.2,4.472727272727273
00-0035359,D.Sills,191.0,18.0,2.0,12.0,0.0,0.0,0.0,0.0,12.0,49.1,4.091666666666667
00-0039451,I.Williams,193.0,26.0,0.0,9.0,34.0,3.0,0.0,3.0,9.0,48.7,5.411111111111111
00-0039146,J.Reed,207.0,19.0,1.0,5.0,28.0,3.0,0.0,2.0,5.0,48.5,9.7
00-0038359,X.Smith,303.0,18.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,48.3,4.83
00-0040187,M.Evans,171.0,19.0,2.0,13.0,1.0,1.0,0.0,1.0,13.0,48.2,3.707692307692308
00-0039373,A.Estime,103.0,12.0,0.0,4.0,198.0,46.0,1.0,5.0,5.0,48.1,9.620000000000001
00-0034613,T.Hudson,168.0,19.0,2.0,10.0,0.0,0.0,0.0,0.0,10.0,47.8,4.779999999999999
00-0034837,C.Ridley,303.0,17.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,47.3,6.757142857142857
00-0034796,L.Jackson,0.0,0.0,0.0,0.0,349.0,67.0,2.0,13.0,13.0,46.9,3.6076923076923078
00-0035710,D.Jones,0.0,0.0,0.0,0.0,161.0,45.0,5.0,13.0,13.0,46.1,3.5461538461538464
00-0037805,J.Ruckert,168.0,23.0,1.0,13.0,0.0,0.0,0.0,0.0,13.0,45.8,3.523076923076923
00-0036422,A.Trautman,195.0,20.0,1.0,11.0,0.0,0.0,0.0,0.0,11.0,45.5,4.136363636363637
00-0038679,T.Shavers,245.0,15.0,1.0,10.0,0.0,0.0,0.0,0.0,10.0,45.5,4.55
00-0037666,J.Tolbert,203.0,18.0,1.0,11.0,0.0,0.0,0.0,0.0,11.0,44.3,4.027272727272727
