player_name,draft_year,pick,round,college,teammate_count,best_teammate_pick,total_teammate_dc,avg_teammate_dc,teammate_names
Jaleel Scott,2018,132,4,New Mexico St.,0,,0.0,0.0,
J'Mon Moore,2018,133,4,Missouri,0,,0.0,0.0,
Justin Watson,2018,144,5,Pennsylvania,0,,0.0,0.0,
Daurice Fountain,2018,159,5,Northern Iowa,0,,0.0,0.0,
Jordan Lasley,2018,162,5,UCLA,1,254.0,28.1,28.1,"Caleb Wilson (Rd7 #254, 2019)"
Marquez Valdes-Scantling,2018,174,5,South Florida,1,170.0,44.4,44.4,"Rodney Adams (Rd5 #170, 2017)"
Damion Ratley,2018,175,6,Texas A&M,3,47.0,200.2,66.7,"Josh Reynolds (Rd4 #117, 2017); Christian Kirk (Rd2 #47, 2018); Jace Sternberger (Rd3 #75, 2019)"
Deon Cain,2018,185,6,Clemson,4,7.0,233.1,58.3,"Mike Williams (Rd1 #7, 2017); Jordan Leggett (Rd5 #150, 2017); Ray-Ray McCloud (Rd6 #187, 2018); Hunter Renfrow (Rd5 #149, 2019)"
Ray-Ray McCloud,2018,187,6,Clemson,4,7.0,233.5,58.4,"Mike Williams (Rd1 #7, 2017); Jordan Leggett (Rd5 #150, 2017); Deon Cain (Rd6 #185, 2018); Hunter Renfrow (Rd5 #149, 2019)"
Dylan Cantrell,2018,191,6,Texas Tech,1,103.0,59.9,59.9,"Keke Coutee (Rd4 #103, 2018)"
Russell Gage,2018,194,6,LSU,3,61.0,152.7,50.9,"Malachi Dupre (Rd7 #247, 2017); DJ Chark (Rd2 #61, 2018); Foster Moreau (Rd4 #137, 2019)"
Tremon Smith,2018,196,6,Central Arkansas,0,,0.0,0.0,
Equanimeous St. Brown,2018,207,6,Notre Dame,3,93.0,149.8,49.9,"Durham Smythe (Rd4 #123, 2018); Miles Boykin (Rd3 #93, 2019); Alizé Mack (Rd7 #231, 2019)"
Cedrick Wilson Jr.,2018,208,6,Boise St.,0,,0.0,0.0,
Braxton Berrios,2018,210,6,Miami (FL),3,29.0,176.5,58.8,"David Njoku (Rd1 #29, 2017); Stacy Coley (Rd7 #219, 2017); Chris Herndon (Rd4 #107, 2018)"
Javon Wims,2018,224,7,Georgia,5,56.0,236.4,47.3,"Isaiah McKenzie (Rd5 #172, 2017); Mecole Hardman (Rd2 #56, 2019); Riley Ridley (Rd4 #126, 2019); Isaac Nauta (Rd7 #224, 2019); Terry Godwin (Rd7 #237, 2019)"
Marcell Ateman,2018,228,7,Oklahoma St.,1,60.0,72.0,72.0,"James Washington (Rd2 #60, 2018)"
Richie James,2018,240,7,Middle Tenn. St.,0,,0.0,0.0,
Auden Tate,2018,253,7,Florida St.,1,250.0,28.8,28.8,"Ryan Izzo (Rd7 #250, 2018)"
Austin Proehl,2018,255,7,North Carolina,2,118.0,108.8,54.4,"Mack Hollins (Rd4 #118, 2017); Ryan Switzer (Rd4 #133, 2017)"
Trey Quinn,2018,256,7,SMU,1,40.0,78.8,78.8,"Courtland Sutton (Rd2 #40, 2018)"
Marquise Brown,2019,25,1,Oklahoma,2,17.0,152.9,76.5,"Mark Andrews (Rd3 #86, 2018); CeeDee Lamb (Rd1 #17, 2020)"
N'Keal Harry,2019,32,1,Arizona St.,1,25.0,84.7,84.7,"Brandon Aiyuk (Rd1 #25, 2020)"
Deebo Samuel,2019,36,2,South Carolina,2,25.0,150.5,75.3,"Hayden Hurst (Rd1 #25, 2018); Bryan Edwards (Rd3 #81, 2020)"
A.J. Brown,2019,51,2,Mississippi,2,64.0,132.5,66.3,"D.K. Metcalf (Rd2 #64, 2019); Dawson Knox (Rd3 #96, 2019)"
Mecole Hardman,2019,56,2,Georgia,5,126.0,193.0,38.6,"Javon Wims (Rd7 #224, 2018); Riley Ridley (Rd4 #126, 2019); Isaac Nauta (Rd7 #224, 2019); Terry Godwin (Rd7 #237, 2019); Charlie Woerner (Rd6 #190, 2020)"
JJ Arcega-Whiteside,2019,57,2,Stanford,3,133.0,147.5,49.2,"Dalton Schultz (Rd4 #137, 2018); Kaden Smith (Rd6 #176, 2019); Colby Parkinson (Rd4 #133, 2020)"
Parris Campbell,2019,59,2,Ohio St.,2,76.0,101.6,50.8,"Terry McLaurin (Rd3 #76, 2019); K.J. Hill (Rd7 #220, 2020)"
Andy Isabella,2019,62,2,Massachusetts,0,,0.0,0.0,
D.K. Metcalf,2019,64,2,Mississippi,2,51.0,136.7,68.3,"A.J. Brown (Rd2 #51, 2019); Dawson Knox (Rd3 #96, 2019)"
Diontae Johnson,2019,66,3,Toledo,0,,0.0,0.0,
Jalen Hurd,2019,67,3,Baylor,1,59.0,72.3,72.3,"Denzel Mims (Rd2 #59, 2020)"
Terry McLaurin,2019,76,3,Ohio St.,2,59.0,106.7,53.4,"Parris Campbell (Rd2 #59, 2019); K.J. Hill (Rd7 #220, 2020)"
Miles Boykin,2019,93,3,Notre Dame,5,43.0,277.5,55.5,"Durham Smythe (Rd4 #123, 2018); Equanimeous St. Brown (Rd6 #207, 2018); Alizé Mack (Rd7 #231, 2019); Cole Kmet (Rd2 #43, 2020); Chase Claypool (Rd2 #49, 2020)"
Hakeem Butler,2019,103,4,Iowa St.,0,,0.0,0.0,
Gary Jennings Jr,2019,120,4,West Virginia,1,121.0,55.5,55.5,"Trevon Wesco (Rd4 #121, 2019)"
Riley Ridley,2019,126,4,Georgia,5,56.0,212.1,42.4,"Javon Wims (Rd7 #224, 2018); Mecole Hardman (Rd2 #56, 2019); Isaac Nauta (Rd7 #224, 2019); Terry Godwin (Rd7 #237, 2019); Charlie Woerner (Rd6 #190, 2020)"
Hunter Renfrow,2019,149,5,Clemson,3,33.0,163.7,54.6,"Deon Cain (Rd6 #185, 2018); Ray-Ray McCloud (Rd6 #187, 2018); Tee Higgins (Rd2 #33, 2020)"
Darius Slayton,2019,171,5,Auburn,0,,0.0,0.0,
KeeSean Johnson,2019,174,6,Fresno St.,0,,0.0,0.0,
Travis Fulgham,2019,184,6,Old Dominion,0,,0.0,0.0,
Juwann Winfree,2019,187,6,Colorado,1,42.0,78.0,78.0,"Laviska Shenault Jr. (Rd2 #42, 2020)"
