player_name,draft_year,pick,round,college,best_ppr,hit24,yprr,yards,receptions,grades_offense,pff_file
Rashod Bateman,2021,27,1,Minnesota,201.6,0,3.45,472,36,81.1,data/receiving_summary (20).csv
Elijah Moore,2021,34,2,Mississippi,138.2,0,3.85,1193,86,91.2,data/receiving_summary (20).csv
Rondale Moore,2021,49,2,Purdue,119.3,0,2.25,270,35,80.9,data/receiving_summary (20).csv
D'Wayne Eskridge,2021,56,2,Western Michigan,28.3,0,4.94,786,34,86.9,data/receiving_summary (20).csv
Tutu Atwell,2021,57,2,Louisville,121.2,0,2.44,625,46,77.1,data/receiving_summary (20).csv
Terrace Marshall Jr.,2021,59,2,LSU,32.900000000000006,0,2.91,731,48,78.9,data/receiving_summary (20).csv
Dyami Brown,2021,82,3,North Carolina,108.3,0,3.11,1099,55,82.8,data/receiving_summary (20).csv
Amari Rodgers,2021,85,3,Clemson,43.1,0,2.61,1020,77,79.1,data/receiving_summary (20).csv
Anthony Schwartz,2021,91,3,Auburn,33.4,0,2.31,635,54,70.9,data/receiving_summary (20).csv
Dez Fitzpatrick,2021,109,4,Louisville,15.9,0,2.49,831,43,74.7,data/receiving_summary (20).csv
Amon-Ra St. Brown,2021,112,4,USC,386.5,1,1.85,478,41,71.7,data/receiving_summary (20).csv
Jaelon Darden,2021,129,4,North Texas,11.4,0,4.31,1190,74,89.8,data/receiving_summary (20).csv
Tylan Wallace,2021,131,4,Oklahoma St.,43.1,0,3.26,922,59,86.1,data/receiving_summary (20).csv
Jacob Harris,2021,141,4,Central Florida,1.6,0,1.52,539,30,60.7,data/receiving_summary (20).csv
Ihmir Smith-Marsette,2021,157,5,Iowa,28.6,0,1.84,345,25,61.0,data/receiving_summary (20).csv
Simi Fehoko,2021,179,5,Stanford,16.6,0,2.73,574,37,75.8,data/receiving_summary (20).csv
Cornell Powell,2021,181,5,Clemson,0.0,0,2.22,882,53,75.1,data/receiving_summary (20).csv
Frank Darby,2021,187,6,Arizona St.,2.5,0,0.84,46,6,56.3,data/receiving_summary (20).csv
Marquez Stevenson,2021,203,6,Houston,0.0,0,2.41,301,20,69.9,data/receiving_summary (20).csv
Shi Smith,2021,204,6,South Carolina,61.6,0,2.59,633,57,78.0,data/receiving_summary (20).csv
Racey McMath,2021,205,6,LSU,6.4,0,1.28,195,14,61.2,data/receiving_summary (20).csv
Jalen Camp,2021,209,6,Georgia Tech,1.7000000000000002,0,1.57,439,29,65.0,data/receiving_summary (20).csv
Seth Williams,2021,219,6,Auburn,4.4,0,2.05,759,47,69.8,data/receiving_summary (20).csv
Dazz Newsome,2021,221,6,North Carolina,4.3,0,1.86,684,54,73.2,data/receiving_summary (20).csv
Tre Nixon,2021,242,7,Central Florida,0.0,0,1.78,260,19,63.9,data/receiving_summary (20).csv
Ben Skowronek,2021,249,7,Notre Dame,84.30000000000001,0,1.46,438,29,65.2,data/receiving_summary (20).csv
Kawaan Baker,2021,255,7,South Alabama,0.0,0,1.92,659,51,75.0,data/receiving_summary (20).csv
Drake London,2022,8,1,USC,280.8,1,3.52,1084,88,91.3,data/receiving_summary (19).csv
Garrett Wilson,2022,10,1,Ohio St.,251.9,1,3.0,1058,70,84.1,data/receiving_summary (19).csv
Chris Olave,2022,11,1,Ohio St.,231.3,1,2.29,936,65,79.3,data/receiving_summary (19).csv
Jameson Williams,2022,12,1,Alabama,227.2,1,3.12,1561,78,81.6,data/receiving_summary (19).csv
Jahan Dotson,2022,16,1,Penn St.,130.6,0,2.56,1182,91,87.5,data/receiving_summary (19).csv
Treylon Burks,2022,18,1,Arkansas,88.10000000000001,0,3.57,1100,65,85.8,data/receiving_summary (19).csv
Wan'Dale Robinson,2022,43,2,Kentucky,182.7,0,3.56,1342,104,91.3,data/receiving_summary (19).csv
John Metchie,2022,44,2,Alabama,65.7,0,2.41,1142,96,78.2,data/receiving_summary (19).csv
Tyquan Thornton,2022,50,2,Baylor,66.3,0,2.5,941,62,82.9,data/receiving_summary (19).csv
George Pickens,2022,52,2,Georgia,218.3,0,3.34,107,5,73.5,data/receiving_summary (19).csv
Alec Pierce,2022,53,2,Cincinnati,161.4,0,2.38,873,52,76.5,data/receiving_summary (19).csv
Skyy Moore,2022,54,2,Western Michigan,62.8,0,3.4,1291,94,91.8,data/receiving_summary (19).csv
Velus Jones Jr.,2022,71,3,Tennessee,0.0,0,2.67,807,62,76.2,data/receiving_summary (19).csv
Jalen Tolbert,2022,88,3,South Alabama,152.0,0,3.16,1474,82,82.3,data/receiving_summary (19).csv
David Bell,2022,99,3,Purdue,62.1,0,2.7,1275,93,87.5,data/receiving_summary (19).csv
Danny Gray,2022,105,3,SMU,2.9,0,2.69,803,49,77.9,data/receiving_summary (19).csv
Erik Ezukanma,2022,125,4,Texas Tech,2.2,0,2.31,699,47,76.5,data/receiving_summary (19).csv
Romeo Doubs,2022,132,4,Nevada,213.8,0,2.3,1114,80,81.7,data/receiving_summary (19).csv
Calvin Austin III,2022,138,4,Memphis,60.4,0,2.99,1145,74,84.7,data/receiving_summary (19).csv
Khalil Shakir,2022,148,5,Boise St.,217.9,0,2.83,1117,77,86.7,data/receiving_summary (19).csv
Kyle Philips,2022,163,5,UCLA,33.1,0,2.11,739,59,77.6,data/receiving_summary (19).csv
Jalen Nailor,2022,191,6,Michigan St.,111.3,0,2.7,692,38,77.0,data/receiving_summary (19).csv
Michael Woods II,2022,202,6,Oklahoma,0.0,0,1.77,411,36,70.4,data/receiving_summary (19).csv
Bo Melton,2022,229,7,Rutgers,56.5,0,2.28,642,56,76.8,data/receiving_summary (19).csv
Samori Toure,2022,258,7,Nebraska,19.2,0,2.72,896,46,80.9,data/receiving_summary (19).csv
Jaxon Smith-Njigba,2023,20,1,Ohio St.,251.6,1,0.98,39,4,55.1,data/receiving_summary (18).csv
Quentin Johnston,2023,21,1,TCU,174.70000000000002,0,3.05,1067,60,76.2,data/receiving_summary (18).csv
Zay Flowers,2023,22,1,Boston Col.,235.4,1,2.22,1077,78,76.0,data/receiving_summary (18).csv
Jordan Addison,2023,23,1,USC,221.3,1,2.78,875,59,81.5,data/receiving_summary (18).csv
Jonathan Mingo,2023,39,2,Mississippi,84.8,0,2.14,861,51,76.9,data/receiving_summary (18).csv
Jayden Reed,2023,50,2,Michigan St.,225.6,1,1.83,636,55,70.4,data/receiving_summary (18).csv
Rashee Rice,2023,55,2,SMU,271.2,1,3.05,1344,96,85.9,data/receiving_summary (18).csv
Marvin Mims,2023,63,2,Oklahoma,132.8,0,2.75,1082,54,75.5,data/receiving_summary (18).csv
Tank Dell,2023,69,3,Houston,165.0,0,2.54,1399,108,83.5,data/receiving_summary (18).csv
Jalin Hyatt,2023,73,3,Tennessee,60.3,0,3.27,1267,67,77.4,data/receiving_summary (18).csv
Cedric Tillman,2023,74,3,Tennessee,80.4,0,2.01,417,37,70.3,data/receiving_summary (18).csv
Josh Downs,2023,79,3,North Carolina,182.2,0,2.18,1029,94,82.9,data/receiving_summary (18).csv
Michael Wilson,2023,94,3,Stanford,124.5,0,2.3,421,27,74.5,data/receiving_summary (18).csv
Tre Tucker,2023,100,3,Cincinnati,129.3,0,2.24,680,53,70.3,data/receiving_summary (18).csv
Derius Davis,2023,125,4,TCU,41.2,0,2.0,531,42,61.8,data/receiving_summary (18).csv
Charlie Jones,2023,131,4,Purdue,14.7,0,2.7,1361,110,81.6,data/receiving_summary (18).csv
Tyler Scott,2023,133,4,Cincinnati,35.900000000000006,0,2.5,904,55,72.1,data/receiving_summary (18).csv
Justin Shorter,2023,150,5,Florida,0.0,0,2.42,577,29,74.0,data/receiving_summary (18).csv
Dontayvion Wicks,2023,159,5,Virginia,129.7,0,1.45,430,30,59.0,data/receiving_summary (18).csv
Parker Washington,2023,185,6,Penn St.,91.0,0,2.18,611,46,76.4,data/receiving_summary (18).csv
Kayshon Boutte,2023,187,6,LSU,121.9,0,1.49,538,48,64.8,data/receiving_summary (18).csv
Trey Palmer,2023,191,6,Nebraska,114.4,0,3.26,1043,71,83.7,data/receiving_summary (18).csv
A.T. Perry,2023,195,6,Wake Forest,60.6,0,2.57,1100,81,83.4,data/receiving_summary (18).csv
Elijah Higgins,2023,197,6,Stanford,0.0,0,1.83,704,59,65.4,data/receiving_summary (18).csv
Xavier Hutchinson,2023,205,6,Iowa St.,37.3,0,2.72,1171,107,89.7,data/receiving_summary (18).csv
Antoine Green,2023,219,7,North Carolina,1.2,0,2.34,798,43,74.8,data/receiving_summary (18).csv
Jalen Brooks,2023,244,7,South Carolina,35.7,0,1.76,499,33,63.7,data/receiving_summary (18).csv
Ronnie Bell,2023,253,7,Michigan,30.8,0,2.56,892,62,76.9,data/receiving_summary (18).csv
Grant Dubose,2023,256,7,Charlotte,0.0,0,1.87,793,63,71.6,data/receiving_summary (18).csv
Marvin Harrison Jr.,2024,4,1,Ohio St.,0.0,0,3.44,1211,67,89.9,data/receiving_summary (17).csv
Malik Nabers,2024,6,1,LSU,273.6,1,3.64,1568,89,92.9,data/receiving_summary (17).csv
Rome Odunze,2024,9,1,Washington,144.9,0,2.93,1639,92,89.8,data/receiving_summary (17).csv
Brian Thomas,2024,23,1,LSU,284.0,1,2.61,1177,68,73.7,data/receiving_summary (17).csv
Xavier Worthy,2024,28,1,Texas,253.7,1,2.14,1014,75,68.9,data/receiving_summary (17).csv
Ricky Pearsall,2024,31,1,Florida,93.5,0,2.23,963,65,77.2,data/receiving_summary (17).csv
Xavier Legette,2024,32,1,South Carolina,125.1,0,3.15,1255,71,82.5,data/receiving_summary (17).csv
Keon Coleman,2024,33,2,Florida St.,118.7,0,1.74,658,50,70.2,data/receiving_summary (17).csv
Ladd McConkey,2024,34,2,Georgia,275.6,1,3.26,483,30,82.6,data/receiving_summary (17).csv
Ja'Lynn Polk,2024,37,2,Washington,32.7,0,2.29,1159,69,75.0,data/receiving_summary (17).csv
Adonai Mitchell,2024,52,2,Texas,52.8,0,1.72,845,55,72.0,data/receiving_summary (17).csv
Malachi Corley,2024,65,3,Western Kentucky,7.2,0,2.78,985,79,82.6,data/receiving_summary (17).csv
Jermaine Burton,2024,80,3,Alabama,14.7,0,2.75,798,39,79.6,data/receiving_summary (17).csv
Roman Wilson,2024,84,3,Michigan,0.0,0,2.68,789,48,81.5,data/receiving_summary (17).csv
Jalen McMillan,2024,92,3,Washington,141.5,0,2.3,553,45,70.3,data/receiving_summary (17).csv
Luke McCaffrey,2024,100,3,Rice,34.8,0,2.11,992,71,80.1,data/receiving_summary (17).csv
Troy Franklin,2024,102,4,Oregon,80.5,0,3.32,1383,81,84.9,data/receiving_summary (17).csv
Javon Baker,2024,110,4,Central Florida,2.2,0,3.21,1139,52,82.9,data/receiving_summary (17).csv
Devontez Walker,2024,113,4,North Carolina,9.1,0,2.28,699,41,68.2,data/receiving_summary (17).csv
Jacob Cowing,2024,135,4,Arizona,12.7,0,1.92,868,89,75.2,data/receiving_summary (17).csv
Anthony Gould,2024,142,5,Oregon St.,3.3000000000000003,0,2.54,711,44,73.9,data/receiving_summary (17).csv
Ainias Smith,2024,152,5,Texas A&M,17.7,0,2.27,795,53,77.1,data/receiving_summary (17).csv
Jamari Thrash,2024,156,5,Louisville,5.2,0,2.35,848,62,77.6,data/receiving_summary (17).csv
Bub Means,2024,170,5,Pittsburgh,26.8,0,2.14,718,41,71.1,data/receiving_summary (17).csv
Jha'Quan Jackson,2024,182,6,Tulane,1.3,0,2.3,439,26,74.1,data/receiving_summary (17).csv
Malik Washington,2024,184,6,Virginia,56.8,0,3.15,1384,111,91.1,data/receiving_summary (17).csv
