player_name,position,draft_year,pick,college,rec_yards,team_pass_attempts,age,weight,forty,draft_capital_score,breakout_score,athletic_score,slap_score,tier
Chimere Dike,WR,2025,103,Florida,783.0,339.0,23.0,196.0,4.34,45.3,49.8,65.8,63.3,Average
Jack Bech,WR,2025,58,TCU,1034.0,488.0,22.0,214.0,,50.9,51.0,,63.0,Average
Michael Carter,RB,2021,107,North Carolina,267.0,357.0,22.0,201.0,4.5,48.8,59.4,40.4,62.7,Average
Quez Watkins,WR,2020,200,Southern Miss,1178.0,438.0,22.0,185.0,4.35,40.6,61.5,54.4,62.3,Average
Malachi Corley,WR,2024,65,Western Kentucky,984.0,539.0,22.0,215.0,4.47,49.7,45.7,61.4,62.0,Average
Amari Rodgers,WR,2021,85,Clemson,1020.0,490.0,21.0,212.0,4.52,47.0,54.6,51.6,61.7,Average
Pat Bryant,WR,2025,74,Illinois,978.0,353.0,22.0,204.0,4.61,48.3,63.0,33.6,61.4,Average
Jordan Addison,WR,2023,23,USC,875.0,514.0,21.0,173.0,4.49,64.1,46.9,25.3,61.0,Average
Nico Collins,WR,2021,89,Michigan,729.0,410.0,22.0,215.0,4.43,46.6,44.8,67.7,60.7,Average
Eno Benjamin,RB,2020,222,Arizona State,347.0,383.0,21.0,207.0,4.57,40.2,71.5,34.8,60.4,Average
Jaylen Wright,RB,2024,120,Tennessee,141.0,411.0,21.0,210.0,4.38,47.3,42.1,69.5,60.1,Average
Isaiah Hodgins,WR,2020,207,Oregon State,1171.0,420.0,21.0,210.0,4.61,40.4,69.0,37.9,59.7,Average
Brian Robinson Jr.,RB,2022,98,Alabama,296.0,571.0,23.0,225.0,4.53,50.1,45.9,56.4,59.4,Average
Bhayshul Tuten,RB,2025,104,Virginia Tech,79.0,339.0,22.0,206.0,4.32,49.2,35.2,77.1,59.1,Average
Elic Ayomanor,WR,2025,136,Stanford,831.0,370.0,22.0,206.0,4.44,43.1,53.4,58.7,58.8,Average
Tylan Wallace,WR,2021,131,Oklahoma State,917.0,340.0,22.0,194.0,4.48,43.4,61.6,43.2,58.4,Average
Trestan Ebner,RB,2022,203,Baylor,284.0,365.0,23.0,206.0,4.43,41.1,56.7,56.6,58.1,Average
Andrei Iosivas,WR,2023,206,Princeton,943.0,352.0,23.0,205.0,4.43,40.4,55.9,59.4,57.8,Average
Ray Davis,RB,2024,128,Kentucky,323.0,375.0,24.0,211.0,4.52,46.4,55.7,46.0,57.5,Average
KeAndre Lambert-Smith,WR,2025,158,Auburn,981.0,369.0,23.0,190.0,4.37,42.1,55.5,55.7,57.1,Average
Jermaine Burton,WR,2024,80,Alabama,798.0,325.0,23.0,196.0,4.45,47.6,52.2,49.0,56.8,Average
Keon Coleman,WR,2024,33,Florida State,658.0,433.0,21.0,213.0,4.61,58.2,43.2,40.0,56.5,Average
Tai Felton,WR,2025,102,Maryland,1124.0,493.0,22.0,183.0,4.37,45.4,54.0,49.6,56.2,Average
Brashard Smith,RB,2025,228,SMU,327.0,437.0,22.0,194.0,4.39,40.0,59.4,52.1,55.8,Average
Tank Bigsby,RB,2023,88,Auburn,180.0,308.0,22.0,210.0,4.56,51.7,51.7,38.8,55.5,Average
Chase Brown,RB,2023,163,Illinois,240.0,393.0,23.0,209.0,4.43,43.5,49.7,59.4,55.2,Average
Devin Neal,RB,2025,184,Kansas,254.0,306.0,22.0,213.0,4.58,42.2,63.2,38.2,54.9,Average
Isaiah Spiller,RB,2022,123,Texas A&M,189.0,370.0,21.0,217.0,,46.9,50.9,,54.5,Average
Jerome Ford,RB,2022,156,Cincinnati,220.0,400.0,22.0,210.0,4.46,44.0,50.1,55.1,54.2,Average
Khalil Herbert,RB,2021,217,Virginia Tech,179.0,253.0,23.0,210.0,4.46,40.5,53.8,55.1,53.9,Average
Tyler Badie,RB,2022,196,Missouri,330.0,455.0,22.0,197.0,4.45,41.5,58.3,44.8,53.6,Average
Seth Williams,WR,2021,219,Auburn,744.0,362.0,21.0,211.0,4.49,40.0,54.1,55.2,53.2,Average
Ty Chandler,RB,2022,169,North Carolina,216.0,382.0,24.0,204.0,4.38,43.1,44.9,63.6,52.9,Average
Luke McCaffrey,WR,2024,100,Rice,992.0,431.0,23.0,198.0,4.46,45.6,49.7,49.2,52.6,Average
Bucky Irving,RB,2024,125,Oregon,413.0,514.0,22.0,192.0,4.55,46.7,62.0,25.1,52.3,Average
Jordan Watkins,WR,2025,138,Ole Miss,906.0,434.0,23.0,196.0,4.37,43.0,46.2,61.0,51.9,Average
Jalen Royals,WR,2025,133,Utah St.,834.0,458.0,22.0,205.0,4.42,43.3,45.6,60.9,51.6,Average
Roman Wilson,WR,2024,84,Michigan,789.0,361.0,23.0,185.0,4.39,47.1,47.8,48.4,51.3,Average
David Bell,WR,2022,99,Purdue,1286.0,576.0,21.0,212.0,4.65,45.7,57.7,34.2,51.0,Average
Kendre Miller,RB,2023,71,TCU,116.0,454.0,21.0,215.0,,55.2,37.6,,50.6,Average
Bub Means,WR,2024,170,Pittsburgh,721.0,360.0,23.0,212.0,4.43,41.6,44.9,65.2,50.3,Average
Jarquez Hunter,RB,2025,117,Auburn,155.0,369.0,22.0,204.0,4.44,47.6,44.0,53.0,50.0,Average
Calvin Austin III,WR,2022,138,Memphis,1149.0,445.0,23.0,170.0,4.32,43.0,54.3,45.2,49.7,Below Avg
