player_name,position,draft_year,pick,round,college,seasons_played,best_rank,best_ppr,hit24,hit12,RAS
Amon-Ra St. Brown,WR,2021,112,4,USC,3,6.0,39.400000000000006,1,1,7.13
Jaelon Darden,WR,2021,129,4,North Texas,3,1438.0,4.1,0,0,7.14
Tylan Wallace,WR,2021,131,4,Oklahoma St.,3,188.0,20.5,0,0,4.71
Jacob Harris,WR,2021,141,4,Central Florida,3,1824.0,1.6,0,0,9.88
Ihmir Smith-Marsette,WR,2021,157,5,Iowa,3,245.0,19.3,0,0,6.81
Simi Fehoko,WR,2021,179,5,Stanford,3,926.0,7.9,0,0,9.18
Cornell Powell,WR,2021,181,5,Clemson,3,999.0,0.0,0,0,7.57
Frank Darby,WR,2021,187,6,Arizona St.,3,1617.0,2.5,0,0,5.89
Marquez Stevenson,WR,2021,203,6,Houston,3,999.0,0.0,0,0,5.37
Shi Smith,WR,2021,204,6,South Carolina,3,298.0,17.0,0,0,6.78
Racey McMath,WR,2021,205,6,LSU,3,1259.0,4.9,0,0,7.43
Jalen Camp,WR,2021,209,6,Georgia Tech,3,1791.0,1.7000000000000002,0,0,9.75
Seth Williams,WR,2021,219,6,Auburn,3,1394.0,4.4,0,0,6.86
Dazz Newsome,WR,2021,221,6,North Carolina,3,1739.0,2.3,0,0,2.13
Mike Strachan,WR,2021,229,7,Charleston (WV),3,1185.0,5.6,0,0,
Tre Nixon,WR,2021,242,7,Central Florida,3,999.0,0.0,0,0,8.97
Ben Skowronek,WR,2021,249,7,Notre Dame,3,314.0,16.7,0,0,
Kawaan Baker,WR,2021,255,7,South Alabama,3,999.0,0.0,0,0,9.08
Dax Milne,WR,2021,258,7,BYU,3,980.0,7.6,0,0,4.56
Drake London,WR,2022,8,1,USC,2,7.0,40.7,1,1,
Garrett Wilson,WR,2022,10,1,Ohio St.,2,31.0,30.000000000000004,0,0,7.77
Chris Olave,WR,2022,11,1,Ohio St.,2,105.0,23.700000000000003,0,0,8.64
Jameson Williams,WR,2022,12,1,Alabama,2,73.0,26.0,0,0,
Jahan Dotson,WR,2022,16,1,Penn St.,2,104.0,24.8,0,0,6.33
Treylon Burks,WR,2022,18,1,Arkansas,2,257.0,18.1,0,0,5.79
Christian Watson,WR,2022,34,2,North Dakota St.,2,22.0,32.7,1,0,9.96
Wan'Dale Robinson,WR,2022,43,2,Kentucky,2,207.0,19.9,0,0,7.36
John Metchie,WR,2022,44,2,Alabama,2,278.0,18.4,0,0,
