player_name,college,draft_year,season,cfbd_school,status,cfbd_name,rush_yards,rush_attempts,rush_tds,rec_tds
Kenneth Walker III,Michigan St.,2022,2021,Michigan State,found,Kenneth Walker III,1636.0,263.0,18.0,1.0
James Cook,Georgia,2022,2021,Georgia,found,James Cook,728.0,113.0,7.0,4.0
Rachaad White,Arizona St.,2022,2021,Arizona State,found,Rachaad White,1006.0,182.0,15.0,1.0
Tyrion Davis-Price,LSU,2022,2021,LSU,found,Tyrion Davis-Price,1003.0,211.0,6.0,0.0
Brian Robinson Jr.,Alabama,2022,2021,Alabama,found,Brian Robinson Jr.,1343.0,271.0,14.0,2.0
Dameon Pierce,Florida,2022,2021,Florida,found,Dameon Pierce,574.0,100.0,13.0,3.0
Zamir White,Georgia,2022,2021,Georgia,found,Zamir White,856.0,160.0,11.0,0.0
Isaiah Spiller,Texas A&M,2022,2021,Texas A&M,found,Isaiah Spiller,1011.0,179.0,6.0,1.0
Pierre Strong,South Dakota St.,2022,2021,South Dakota State,found,Pierre Strong,138.0,13.0,2.0,0.0
Hassan Haskins,Michigan,2022,2021,Michigan,found,Hassan Haskins,1327.0,270.0,20.0,0.0
Tyler Allgeier,BYU,2022,2021,BYU,found,Tyler Allgeier,1606.0,276.0,23.0,0.0
Snoop Conner,Mississippi,2022,2021,Ole Miss,found,Snoop Conner,647.0,130.0,13.0,0.0
Jerome Ford,Cincinnati,2022,2021,Cincinnati,found,Jerome Ford,1319.0,215.0,19.0,1.0
Kyren Williams,Notre Dame,2022,2021,Notre Dame,found,Kyren Williams,1002.0,204.0,14.0,3.0
Ty Chandler,North Carolina,2022,2021,North Carolina,found,Ty Chandler,1092.0,182.0,13.0,1.0
Kevin Harris,South Carolina,2022,2021,South Carolina,found,Kevin Harris,660.0,152.0,4.0,0.0
Tyler Badie,Missouri,2022,2021,Missouri,found,Tyler Badie,1604.0,268.0,14.0,4.0
Keaontay Ingram,USC,2022,2021,USC,found,Keaontay Ingram,911.0,156.0,5.0,0.0
Trestan Ebner,Baylor,2022,2021,Baylor,found,Trestan Ebner,799.0,148.0,2.0,2.0
Brittain Brown,UCLA,2022,2021,UCLA,found,Brittain Brown,616.0,102.0,7.0,0.0
Isiah Pacheco,Rutgers,2022,2021,Rutgers,found,Isaih Pacheco,647.0,167.0,5.0,0.0
Zander Horvath,Purdue,2022,2021,Purdue,found,Alexander Horvath,320.0,91.0,3.0,0.0
Bijan Robinson,Texas,2023,2022,Texas,found,Bijan Robinson,1578.0,258.0,18.0,2.0
Jahmyr Gibbs,Alabama,2023,2022,Alabama,found,Jahmyr Gibbs,926.0,151.0,7.0,3.0
Zach Charbonnet,UCLA,2023,2022,UCLA,found,Zach Charbonnet,1359.0,195.0,14.0,0.0
Kendre Miller,TCU,2023,2022,TCU,found,Kendre Miller,1399.0,224.0,17.0,0.0
Tyjae Spears,Tulane,2023,2022,Tulane,found,Tyjae Spears,1581.0,229.0,19.0,2.0
De'Von Achane,Texas A&M,2023,2022,Texas A&M,found,Devon Achane,1102.0,196.0,8.0,3.0
Tank Bigsby,Auburn,2023,2022,Auburn,found,Tank Bigsby,970.0,179.0,10.0,0.0
Roschon Johnson,Texas,2023,2022,Texas,found,Roschon Johnson,554.0,93.0,5.0,1.0
Israel Abanikanda,Pittsburgh,2023,2022,Pittsburgh,found,Israel Abanikanda,1431.0,239.0,20.0,1.0
Chase Brown,Illinois,2023,2022,Illinois,found,Chase Brown,1643.0,328.0,10.0,3.0
Eric Gray,Oklahoma,2023,2022,Oklahoma,found,Eric Gray,1364.0,213.0,11.0,0.0
Evan Hull,Northwestern,2023,2022,Northwestern,found,Evan Hull,913.0,221.0,5.0,2.0
Chris Rodriguez,Kentucky,2023,2022,Kentucky,found,Chris Rodriguez Jr.,903.0,174.0,6.0,0.0
Deuce Vaughn,Kansas St.,2023,2022,Kansas State,found,Deuce Vaughn,1558.0,293.0,9.0,3.0
Zach Evans,Mississippi,2023,2022,Ole Miss,found,Zach Evans,936.0,144.0,9.0,1.0
DeWayne McBride,Ala-Birmingham,2023,2022,UAB,found,DeWayne McBride,1710.0,233.0,19.0,0.0
Lew Nichols,Central Michigan,2023,2022,Central Michigan,found,Lew Nichols,601.0,177.0,6.0,0.0
Kenny McIntosh,Georgia,2023,2022,Georgia,found,Kenny McIntosh,829.0,150.0,10.0,2.0
Jonathon Brooks,Texas,2024,2023,Texas,found,Jonathon Brooks,1139.0,187.0,10.0,1.0
Trey Benson,Florida St.,2024,2023,Florida State,found,Trey Benson,905.0,156.0,14.0,1.0
Blake Corum,Michigan,2024,2023,Michigan,found,Blake Corum,1245.0,258.0,27.0,1.0
MarShawn Lloyd,USC,2024,2023,USC,found,MarShawn Lloyd,820.0,116.0,9.0,0.0
Jaylen Wright,Tennessee,2024,2023,Tennessee,found,Jaylen Wright,1013.0,137.0,4.0,0.0
Bucky Irving,Oregon,2024,2023,Oregon,found,Mar'Keise Irving,1180.0,186.0,11.0,2.0
Will Shipley,Clemson,2024,2023,Clemson,found,Will Shipley,827.0,167.0,5.0,2.0
Ray Davis,Kentucky,2024,2023,Kentucky,found,Re'Mahn Davis,1129.0,199.0,14.0,7.0
Isaac Guerendo,Louisville,2024,2023,Louisville,found,Isaac Guerendo,810.0,132.0,11.0,0.0
Braelon Allen,Wisconsin,2024,2023,Wisconsin,found,Braelon Allen,984.0,181.0,12.0,0.0
Audric Estime,Notre Dame,2024,2023,Notre Dame,found,Audric Estime,1341.0,210.0,18.0,0.0
Rasheen Ali,Marshall,2024,2023,Marshall,found,Rasheen Ali,1140.0,212.0,15.0,1.0
Tyrone Tracy Jr.,Purdue,2024,2023,Purdue,found,Tyrone Tracy Jr.,716.0,113.0,8.0,0.0
Keilan Robinson,Texas,2024,2023,Texas,found,Keilan Robinson,134.0,12.0,3.0,0.0
