player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Kevin O'Connor,170057,ED,DUKE,5,1,0,0,0.0,0,0,6,0,0,0,3,0.0,0,1,154,0,0,62.5,69.1,60.0,,,,62.7,61.2,6,1,0,0,0,5,0,0,0,1,0,6,3,3.0,6.0,,0
Bryson Goodwin,190661,WR,TEMPLE,2,1,0,0,0.0,0,0,9,0,0,0,3,0.0,0,1,306,0,1,62.5,67.6,72.3,,,59.3,63.3,61.8,9,0,0,0,1,10,0,0,0,1,0,9,3,3.0,9.0,0.0,0
Eli Mason,162799,FB,MARYLAND,7,1,0,0,0.0,0,0,-3,0,0,0,0,0.0,0,0,215,0,0,62.5,57.1,73.0,,54.8,,58.5,60.5,-3,0,0,0,0,11,0,0,0,1,0,-3,0,0.0,-3.0,,1
Walter Taylor III,163728,QB,BALL ST,1,1,0,0,0.0,0,0,-1,0,0,0,1,0.0,0,0,117,0,1,62.5,56.0,63.6,,,,58.3,,-1,0,0,0,0,1,0,0,0,1,0,-1,1,1.0,-1.0,,0
Jacob Emmers,190724,WR,TULSA,12,1,1,0,,0,0,0,0,5,1,11,471.4,0,0,320,0,0,70.5,73.1,79.1,,,74.7,62.6,50.8,0,0,124,13,46,47,0,0,16,14,0,0,11,11.0,0.0,2.7,0
Jewlyen Roberts,190741,TE,TULSA,11,1,0,0,,0,0,0,1,0,0,0,0.0,0,0,320,1,1,65.4,49.3,83.4,,58.0,44.2,60.0,60.0,0,0,15,3,52,95,0,0,4,4,0,0,0,0.0,0.0,0.29,0
Kason Stokes,183852,WR,MIDDLE TN,10,1,0,0,0.0,0,0,14,0,0,0,5,0.0,1,1,224,0,0,66.0,54.4,77.9,,,52.8,63.4,60.7,14,0,22,3,35,11,0,0,6,4,0,14,5,5.0,14.0,0.63,0
Mason Mini,175102,TE,CAL,11,1,0,0,,0,1,0,3,7,0,0,0.0,0,0,130,0,0,73.2,56.7,40.6,88.0,54.1,65.8,64.5,36.3,0,4,387,35,278,230,0,0,47,36,0,0,0,0.0,0.0,1.39,0
Ronald Coleman,190782,WR,COLORADO,2,1,0,0,0.0,0,0,6,0,0,0,0,0.0,0,0,143,1,1,11.1,32.7,67.9,,70.0,,49.9,60.0,6,0,0,0,0,3,0,0,0,1,0,6,0,0.0,6.0,,0
PJ Hatter,172329,QB,GA STATE,1,1,1,0,0.0,0,0,6,0,0,1,8,800.0,0,1,175,0,0,62.5,69.5,63.6,,,,63.4,,6,0,0,0,0,1,0,0,0,1,0,6,8,8.0,6.0,,1
Chris Dawn Jr.,172326,WR,TEXAS ST,11,1,0,0,0.0,0,1,-2,3,13,0,1,23.2,0,0,314,0,1,74.5,73.8,30.6,,,75.0,59.6,64.3,-2,5,937,55,324,327,0,0,77,56,0,-2,1,1.0,-2.0,2.89,0
Ronnie Crosby III,175934,HB,TEXAS A&M,1,1,0,0,0.0,0,0,1,0,0,0,1,0.0,0,0,312,0,0,62.5,59.1,62.7,,,,59.5,,1,0,0,0,0,1,0,0,0,1,0,1,1,1.0,1.0,,1
Tommy Doman,144944,P,FLORIDA,1,1,0,0,,0,0,0,0,0,0,0,0.0,0,0,163,0,0,62.5,60.0,70.3,,,,60.0,,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,,0
Koby Young,190823,WR,HOUSTON,13,1,0,0,0.0,0,0,8,0,1,0,3,23.1,0,0,182,0,0,69.2,55.0,87.5,,,53.2,63.2,61.0,8,0,191,12,270,295,0,0,28,13,0,8,3,3.0,8.0,0.71,0
Jordyn Bridgewater,183844,WR,UCF,3,1,0,0,0.0,0,0,3,1,0,0,2,0.0,0,0,323,0,0,,48.5,73.2,,,45.4,,77.0,3,0,0,0,9,12,0,0,1,1,0,3,2,2.0,3.0,0.0,0
