season,round,pick,team,gsis_id,pfr_player_id,cfb_player_id,pfr_player_name,hof,position,category,side,college,age,to,allpro,probowls,seasons_started,w_av,car_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks,name_clean,best_ppr,best_ppg,best_season,hit24,hit12,games_fantasy
2023,7,237,SEA,00-0038636,McInKe00,kenny-mcintosh-1,Kenny McIntosh,False,RB,RB,O,Georgia,23.0,2024.0,0,0,0,1.0,,1.0,20.0,0.0,0.0,0.0,0.0,0.0,31.0,172.0,0.0,3.0,22.0,0.0,2.0,,,kenny mcintosh,22.4,3.1999999455043246,2024.0,0,0,7.0
2023,7,244,DAL,00-0038640,BrooJa03,jalen-brooks-2,Jalen Brooks,False,WR,WR,O,South Carolina,23.0,2025.0,0,0,0,2.0,,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,292.0,1.0,5.0,,,jalen brooks,12.400001,4.133333524068196,2023.0,0,0,3.0
2023,7,253,SFO,00-0038647,BellRo01,ronnie-bell-3,Ronnie Bell,False,WR,WR,O,Michigan,23.0,2025.0,0,0,0,1.0,,1.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,113.0,4.0,2.0,,,ronnie bell,30.8,3.8499999046325684,2023.0,0,0,8.0
2023,7,256,GNB,00-0038507,DuboGr00,grant-dubose-1,Grant Dubose,False,WR,WR,O,Charlotte,22.0,2024.0,0,0,0,0.0,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,,,,grant dubose,3.1,1.5499999523162842,2024.0,0,0,2.0
2024,1,4,ARI,00-0039849,HarrMa09,marvin-harrison-jr-1,Marvin Harrison Jr.,False,WR,WR,O,Ohio St.,22.0,2025.0,0,0,1,13.0,,13.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,1493.0,12.0,,,,marvin harrison jr,0.0,0.0,,0,0,
2024,1,6,NYG,00-0039337,NabeMa00,malik-nabers-1,Malik Nabers,False,WR,WR,O,LSU,21.0,2025.0,0,1,1,12.0,,12.0,19.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,127.0,1475.0,9.0,,,,malik nabers,273.6,18.240000406901043,2024.0,0,1,15.0
2024,1,9,CHI,00-0039919,OdunRo00,rome-odunze-1,Rome Odunze,False,WR,WR,O,Washington,22.0,2025.0,0,0,1,12.0,,12.0,29.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,98.0,1395.0,9.0,,,,rome odunze,144.9,8.523529052734375,2024.0,0,0,17.0
2024,1,23,JAX,00-0039893,ThomBr06,brian-thomas-jr-1,Brian Thomas,False,WR,WR,O,LSU,21.0,2025.0,0,1,1,18.0,,18.0,31.0,0.0,0.0,0.0,0.0,0.0,9.0,69.0,1.0,135.0,1989.0,12.0,,,,brian thomas,284.0,16.705882352941178,2024.0,0,1,17.0
2024,1,28,KAN,00-0039894,WortXa00,xavier-worthy-1,Xavier Worthy,False,WR,WR,O,Texas,21.0,2025.0,0,0,1,13.0,,13.0,31.0,0.0,0.0,0.0,0.0,0.0,31.0,191.0,3.0,101.0,1170.0,7.0,,,,xavier worthy,253.7,13.352631418328537,2024.0,0,1,19.0
2024,1,31,SFO,00-0039916,PearRi00,ricky-pearsall-1,Ricky Pearsall,False,WR,WR,O,Florida,23.0,2025.0,0,0,0,8.0,,8.0,20.0,0.0,1.0,0.0,0.0,0.0,5.0,43.0,0.0,67.0,928.0,3.0,,,,ricky pearsall,93.5,9.35,2024.0,0,0,10.0
