player_name,college,draft_year,season,cfbd_school,cfbd_name,rec_yards,receptions,rec_tds,team_pass_att,status
KeeSean Johnson,Fresno St.,2019,2018,Fresno State,KeeSean Johnson,1340.0,95.0,8.0,440.0,found
Travis Fulgham,Old Dominion,2019,2018,Old Dominion,Travis Fulgham,1083.0,63.0,9.0,479.0,found
Juwann Winfree,Colorado,2019,2018,Colorado,Juwann Winfree,324.0,28.0,2.0,419.0,found
Marcus Green,La-Monroe,2019,2018,Louisiana Monroe,,,,,,not_found
Kelvin Harmon,North Carolina St.,2019,2018,NC State,Kelvin Harmon,1086.0,74.0,6.0,453.0,found
Scott Miller,Bowling Green,2019,2018,Bowling Green,Scott Miller,1106.0,70.0,9.0,405.0,found
John Ursua,Hawaii,2019,2018,Hawai'i,John Ursua,1343.0,89.0,16.0,545.0,found
Terry Godwin,Georgia,2019,2018,Georgia,Terry Godwin,373.0,22.0,3.0,356.0,found
Dillon Mitchell,Oregon,2019,2018,Oregon,Dillon Mitchell,1184.0,75.0,10.0,418.0,found
Olabisi Johnson,Colorado St.,2019,2018,Colorado State,Olabisi Johnson,796.0,54.0,4.0,502.0,found
Mike Strachan,Charleston (WV),2021,2020,,,,,,,skipped
Luther Burden III,Missouri,2025,2024,Missouri,Luther Burden III,666.0,60.0,6.0,403.0,found
