draft_year,player_name,position,college,pick,age,rec_yards,team_pass_attempts,weight,forty,weight_source,forty_source,full_athletic_data,draft_capital_score,breakout_score,athletic_score,slap_score,position_convert,tier
2022,Jahan Dotson,WR,Penn State,16,22.0,1182.0,486.0,178.0,4.43,existing,existing,True,71.2,56.8,36.3,84.4,False,Good
2022,Treylon Burks,WR,Arkansas,18,22.0,1104.0,314.0,225.0,4.55,existing,existing,True,68.8,76.6,57.0,94.8,False,Elite
2022,Christian Watson,WR,North Dakota State,34,23.0,801.0,255.0,208.0,4.36,existing,existing,True,57.8,63.4,73.8,90.3,False,Good
2022,Breece Hall,RB,Iowa State,36,21.0,302.0,446.0,217.0,4.39,existing,existing,True,69.1,59.6,73.9,93.5,False,Elite
2022,Kenneth Walker III,RB,Michigan State,41,21.0,89.0,400.0,211.0,4.38,combine,combine,True,66.1,35.9,70.1,78.6,False,Good
2022,Wan'Dale Robinson,WR,Kentucky,43,21.0,1334.0,366.0,178.0,4.44,existing,existing,True,54.5,86.4,34.9,88.3,False,Good
2022,John Metchie,WR,Alabama,44,22.0,1142.0,571.0,187.0,4.48,existing,pro_day,True,54.2,48.9,36.9,55.2,False,Average
2022,Tyquan Thornton,WR,Baylor,50,21.0,948.0,365.0,181.0,4.28,existing,existing,True,52.7,65.1,61.8,83.8,False,Good
2022,George Pickens,WR,Georgia,52,21.0,107.0,407.0,195.0,4.47,existing,existing,True,52.2,17.6,44.9,8.8,False,Below Avg
2022,Alec Pierce,WR,Cincinnati,53,22.0,884.0,400.0,211.0,4.41,existing,existing,True,52.0,52.7,67.9,76.3,False,Good
2022,Skyy Moore,WR,Western Michigan,54,21.0,1292.0,368.0,195.0,4.41,existing,existing,True,51.7,83.7,53.9,90.6,False,Elite
2022,James Cook,RB,Georgia,63,22.0,284.0,407.0,199.0,4.42,existing,existing,True,57.3,57.0,51.7,77.9,False,Good
2022,Velus Jones Jr.,WR,Tennessee,71,25.0,807.0,375.0,204.0,4.31,combine,combine,True,48.8,38.5,78.9,64.3,False,Average
2022,Jalen Tolbert,WR,South Alabama,88,23.0,1474.0,407.0,194.0,4.49,existing,existing,True,46.7,71.2,41.3,73.4,False,Good
