player_name,draft_year,pick,round,college,age,best_season,season_rank,RAS,rec_yards,receptions,team_pass_att,cfbd_name,best_ppr,best_ppg,hit24,hit12
Tyler Badie,2022,196,6,Missouri,22.0,2024.0,104.0,6.38,330.0,54.0,455.0,tyler badie,9.4,9.399999618530272,0,0
Keaontay Ingram,2022,201,6,USC,22.0,2022.0,101.0,8.67,156.0,22.0,500.0,keaontay ingram,14.0,2.0,0,0
Trestan Ebner,2022,203,6,Baylor,23.0,2022.0,121.0,4.77,284.0,28.0,365.0,trestan ebner,8.200001,1.171428680419922,0,0
Brittain Brown,2022,250,7,UCLA,24.0,,,4.75,129.0,18.0,335.0,brittain brown,0.0,0.0,0,0
Isiah Pacheco,2022,251,7,Rutgers,23.0,2023.0,6.0,8.85,,,,,279.2,15.511111789279514,0,1
Zander Horvath,2022,260,7,Purdue,23.0,2022.0,103.0,9.83,,,,,18.6,2.325000047683716,0,0
Bijan Robinson,2023,8,1,Texas,21.0,2024.0,4.0,9.85,314.0,19.0,405.0,bijan robinson,341.7,20.100000718060663,0,1
Jahmyr Gibbs,2023,12,1,Alabama,21.0,2024.0,2.0,8.06,444.0,44.0,438.0,jahmyr gibbs,390.4,21.688888549804688,0,1
Zach Charbonnet,2023,52,2,UCLA,22.0,2024.0,26.0,8.71,321.0,37.0,419.0,zach charbonnet,183.7,10.805882173426012,0,0
Kendre Miller,2023,71,3,TCU,21.0,2023.0,71.0,,116.0,16.0,454.0,kendre miller,43.3,6.185714176722935,0,0
Tyjae Spears,2023,81,3,Tulane,22.0,2023.0,35.0,7.51,256.0,22.0,379.0,tyjae spears,113.6,9.466666539510092,0,0
De'Von Achane,2023,84,3,Texas A&M,21.0,2023.0,24.0,,196.0,36.0,391.0,devon achane,299.9,17.641176111557904,0,1
Tank Bigsby,2023,88,3,Auburn,22.0,2024.0,38.0,8.32,180.0,30.0,308.0,tank bigsby,129.0,8.6,0,0
Roschon Johnson,2023,115,4,Texas,22.0,2023.0,47.0,8.67,128.0,14.0,405.0,roschon johnson,102.1,6.806666564941406,0,0
Israel Abanikanda,2023,143,5,Pittsburgh,20.0,2023.0,94.0,9.63,146.0,12.0,393.0,israel abanikanda,18.300001,3.0500001907348637,0,0
Chase Brown,2023,163,5,Illinois,23.0,2024.0,12.0,9.81,240.0,27.0,393.0,chase brown,255.0,15.9375,0,1
Eric Gray,2023,172,5,Oklahoma,23.0,2024.0,97.0,6.56,229.0,33.0,407.0,eric gray,13.0,2.6,0,0
Evan Hull,2023,176,5,Northwestern,22.0,2023.0,129.0,9.33,546.0,55.0,417.0,evan hull,1.7,1.7000000476837158,0,0
Chris Rodriguez,2023,193,6,Kentucky,22.0,2024.0,83.0,,41.0,5.0,349.0,chris rodriguez jr.,31.5,5.25,0,0
Deuce Vaughn,2023,212,6,Kansas St.,21.0,2023.0,98.0,4.32,378.0,42.0,388.0,deuce vaughn,15.0,2.5,0,0
Zach Evans,2023,215,6,Mississippi,22.0,2023.0,128.0,8.75,119.0,12.0,386.0,zach evans,1.9000001,0.4750000238418579,0,0
DeWayne McBride,2023,222,7,Ala-Birmingham,22.0,,,,10.0,2.0,321.0,dewayne mcbride,0.0,0.0,0,0
Lew Nichols,2023,235,7,Central Michigan,22.0,,,,128.0,21.0,389.0,lew nichols,0.0,0.0,0,0
Kenny McIntosh,2023,237,7,Georgia,23.0,2024.0,95.0,4.08,504.0,43.0,492.0,kenny mcintosh,22.4,3.1999999455043246,0,0
Jonathon Brooks,2024,46,2,Texas,21.0,2024.0,108.0,,286.0,25.0,475.0,jonathon brooks,7.4999995,2.4999998410542807,0,0
Trey Benson,2024,66,3,Florida St.,22.0,2024.0,69.0,9.76,227.0,20.0,433.0,trey benson,47.0,3.9166666666666665,0,0
Blake Corum,2024,83,3,Michigan,23.0,2024.0,79.0,8.29,117.0,16.0,361.0,blake corum,33.5,2.392857142857143,0,0
MarShawn Lloyd,2024,88,3,USC,23.0,2024.0,121.0,8.62,232.0,13.0,461.0,marshawn lloyd,2.8,2.799999952316284,0,0
Jaylen Wright,2024,120,4,Tennessee,21.0,2024.0,92.0,9.81,141.0,22.0,411.0,jaylen wright,26.7,2.053846212533804,0,0
Bucky Irving,2024,125,4,Oregon,22.0,2024.0,11.0,2.22,,,,,260.7,14.483334011501736,0,1
Will Shipley,2024,127,4,Clemson,22.0,2024.0,86.0,9.57,244.0,31.0,474.0,will shipley,29.4,4.899999936421712,0,0
