,"Rounds 1-3 
 Draft Capital","4.59 
 or better",10 Yard Split of 1.56 or better,WDOM,YPTPA,YPR DOM,BOA of 18-19,BOY in year 1 or 2,Early Declare,6'+,BMI,Hand Size,Arm Length,,,Standing Vert,RAS,YPR,10+ PPG Seasons,AVG Top Finish,,,"Rounds 1-2
 Draft Capital","100+
 Speed score","4.59
 or better",10 Yard Split of 1.56 or better,Weight,BMI,121+ Burst Score,BDR,"A 1500+ 
 Scrimmage
 yard season",30+ Recption Season,RAS,YPA DOM,6+ College YPA,10+ PPG Seasons,AVG Top Finish,Drop %,Y/RR,TGT/YR,RORE
Trent Sherfield,UDFA,4.50,1.57,18,1.81,15.9,19.5,2,N,6002,27.5,9.625,31.875,72.250,104.125,8081,8.90,13.7,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
