player_name,draft_year,pick,round,college,age,RAS,rec_yards,best_ppr,hit24,dc_score,match_status,college_season,pff_file_source,elusive_rating,yards,attempts,yco_attempt,grades_run,grades_offense,team_name
Cam Akers,2020,52,2,Florida St.,21.0,8.79,225.0,146.0,0,,MATCHED,2019,rushing_summary (5).csv,125.9,1142.0,231.0,3.91,82.8,79.2,FLORIDA ST
J.K. Dobbins,2020,55,2,Ohio St.,21.0,,247.0,194.4,1,,MATCHED,2019,rushing_summary (5).csv,92.9,2003.0,301.0,4.01,83.8,83.8,OHIO STATE
AJ Dillon,2020,62,2,Boston Col.,22.0,,195.0,117.6,0,,MATCHED,2019,rushing_summary (5).csv,88.6,1699.0,317.0,3.48,90.1,91.3,BOSTON COL
Antonio Gibson,2020,66,3,Memphis,22.0,,735.0,229.1,1,,MATCHED,2019,rushing_summary (5).csv,359.2,369.0,33.0,7.73,86.7,81.3,MEMPHIS
Ke'Shawn Vaughn,2020,76,3,Illinois,23.0,5.17,,50.8,0,,MATCHED,2019,rushing_summary (5).csv,103.2,1028.0,199.0,3.73,81.7,77.7,VANDERBILT
Zack Moss,2020,86,3,Utah,22.0,2.8,388.0,169.6,0,,MATCHED,2019,rushing_summary (5).csv,176.8,1412.0,234.0,4.45,91.5,91.3,UTAH
Darrynton Evans,2020,93,3,Appalachian St.,22.0,9.11,,30.0,0,,MATCHED,2019,rushing_summary (5).csv,60.1,1484.0,256.0,2.97,78.2,78.8,APP STATE
Joshua Kelley,2020,112,4,UCLA,22.0,7.59,71.0,81.2,0,,MATCHED,2019,rushing_summary (5).csv,51.3,1060.0,229.0,2.8,78.6,78.1,UCLA
La'Mical Perine,2020,120,4,Florida,22.0,5.25,262.0,52.5,0,,MATCHED,2019,rushing_summary (5).csv,69.1,676.0,132.0,3.73,76.3,75.4,FLORIDA
Anthony McFarland Jr.,2020,124,4,Maryland,22.0,,126.0,0.0,0,,MATCHED,2019,rushing_summary (5).csv,69.8,614.0,114.0,2.77,75.0,70.3,MARYLAND
