prospect,position,prospect_college,prospect_pick,prospect_year,comp_rank,comp_player,comp_college,comp_pick,comp_year,similarity_score,comparison_coverage,dominant_category,category_breakdown,hit24,hit12,career_ppg,first_3yr_ppg,nfl_best_season_ppg
Dominic Richardson,RB,Tulsa,0,2026,10,Brittain Brown,UCLA,0,2022,75.2,0.442,slap_score,draft_capital=0.10; size_speed=0.00; production=0.63; slap_score=1.40,0.0,0.0,,,0.0
Jalen Berger,RB,UCLA,0,2026,1,Devante Mays,Utah St.,0,2017,78.9,0.442,slap_score,draft_capital=0.26; size_speed=0.00; production=0.37; slap_score=1.21,0.0,0.0,,,0.0647058823529411
Jalen Berger,RB,UCLA,0,2026,2,Jacory Croskey-Merritt,Arizona,0,2025,78.2,0.392,slap_score,draft_capital=0.17; size_speed=0.00; production=0.92; slap_score=1.13,,,,,
Jalen Berger,RB,UCLA,0,2026,3,Raymond Calais,Louisiana,0,2020,77.1,0.442,slap_score,draft_capital=0.17; size_speed=0.27; production=0.43; slap_score=1.32,0.0,0.0,,,0.0
Jalen Berger,RB,UCLA,0,2026,4,DeWayne McBride,Ala-Birmingham,0,2023,75.5,0.442,slap_score,draft_capital=0.53; size_speed=0.16; production=0.46; slap_score=1.37,0.0,0.0,,,0.0
Jalen Berger,RB,UCLA,0,2026,5,Kyle Monangai,Rutgers,0,2025,74.7,0.442,slap_score,draft_capital=0.43; size_speed=0.85; production=0.29; slap_score=1.41,,,,,
Jalen Berger,RB,UCLA,0,2026,6,Chandler Cox,Auburn,0,2019,74.5,0.442,slap_score,draft_capital=0.43; size_speed=0.00; production=0.19; slap_score=1.48,0.0,0.0,,,0.0
Jalen Berger,RB,UCLA,0,2026,7,Myles Gaskin,Washington,0,2019,74.4,0.442,slap_score,draft_capital=0.40; size_speed=0.99; production=0.38; slap_score=1.40,0.0,0.0,16.42,16.42,10.211764705882352
Jalen Berger,RB,UCLA,0,2026,8,Brittain Brown,UCLA,0,2022,74.0,0.442,slap_score,draft_capital=0.10; size_speed=0.00; production=0.37; slap_score=1.52,0.0,0.0,,,0.0
Jalen Berger,RB,UCLA,0,2026,9,Chris Carson,Oklahoma St.,0,2017,73.5,0.442,slap_score,draft_capital=0.12; size_speed=0.19; production=0.93; slap_score=1.43,1.0,1.0,15.65,15.506667,13.682352941176472
Jalen Berger,RB,UCLA,0,2026,10,Cullen Gillaspia,Texas A&M,0,2019,73.1,0.442,slap_score,draft_capital=0.56; size_speed=0.00; production=0.67; slap_score=1.47,0.0,0.0,,,0.0
Cam Porter,RB,Northwestern,0,2026,1,Devante Mays,Utah St.,0,2017,77.0,0.442,slap_score,draft_capital=0.26; size_speed=0.00; production=0.09; slap_score=1.35,0.0,0.0,,,0.0647058823529411
Cam Porter,RB,Northwestern,0,2026,2,Jacory Croskey-Merritt,Arizona,0,2025,76.3,0.392,slap_score,draft_capital=0.17; size_speed=0.00; production=0.71; slap_score=1.27,,,,,
Cam Porter,RB,Northwestern,0,2026,3,Raymond Calais,Louisiana,0,2020,74.9,0.442,slap_score,draft_capital=0.17; size_speed=0.27; production=0.37; slap_score=1.46,0.0,0.0,,,0.0
Cam Porter,RB,Northwestern,0,2026,4,DeWayne McBride,Ala-Birmingham,0,2023,73.1,0.442,slap_score,draft_capital=0.53; size_speed=0.16; production=0.49; slap_score=1.51,0.0,0.0,,,0.0
Cam Porter,RB,Northwestern,0,2026,5,Kyle Monangai,Rutgers,0,2025,72.4,0.442,slap_score,draft_capital=0.43; size_speed=0.85; production=0.30; slap_score=1.55,,,,,
Cam Porter,RB,Northwestern,0,2026,6,Myles Gaskin,Washington,0,2019,72.2,0.442,slap_score,draft_capital=0.40; size_speed=0.99; production=0.36; slap_score=1.55,0.0,0.0,16.42,16.42,10.211764705882352
Cam Porter,RB,Northwestern,0,2026,7,Chandler Cox,Auburn,0,2019,72.0,0.442,slap_score,draft_capital=0.43; size_speed=0.00; production=0.30; slap_score=1.62,0.0,0.0,,,0.0
Cam Porter,RB,Northwestern,0,2026,8,Chris Carson,Oklahoma St.,0,2017,71.3,0.442,slap_score,draft_capital=0.12; size_speed=0.19; production=0.91; slap_score=1.57,1.0,1.0,15.65,15.506667,13.682352941176472
Cam Porter,RB,Northwestern,0,2026,9,Cullen Gillaspia,Texas A&M,0,2019,71.3,0.442,slap_score,draft_capital=0.56; size_speed=0.00; production=0.54; slap_score=1.62,0.0,0.0,,,0.0
Cam Porter,RB,Northwestern,0,2026,10,Brittain Brown,UCLA,0,2022,70.9,0.442,slap_score,draft_capital=0.10; size_speed=0.00; production=0.65; slap_score=1.67,0.0,0.0,,,0.0
Kejon Owens,RB,Florida International,0,2026,1,Jacory Croskey-Merritt,Arizona,0,2025,83.8,0.392,slap_score,draft_capital=0.17; size_speed=0.00; production=0.10; slap_score=0.90,,,,,
Kejon Owens,RB,Florida International,0,2026,2,Devante Mays,Utah St.,0,2017,82.2,0.442,slap_score,draft_capital=0.26; size_speed=0.00; production=0.49; slap_score=0.98,0.0,0.0,,,0.0647058823529411
Kejon Owens,RB,Florida International,0,2026,3,Raymond Calais,Louisiana,0,2020,81.4,0.442,slap_score,draft_capital=0.17; size_speed=0.27; production=0.14; slap_score=1.09,0.0,0.0,,,0.0
Kejon Owens,RB,Florida International,0,2026,4,Chris Carson,Oklahoma St.,0,2017,79.1,0.442,slap_score,draft_capital=0.12; size_speed=0.19; production=0.44; slap_score=1.20,1.0,1.0,15.65,15.506667,13.682352941176472
Kejon Owens,RB,Florida International,0,2026,5,Zac Brooks,Clemson,0,2016,78.2,0.442,slap_score,draft_capital=0.13; size_speed=0.00; production=0.87; slap_score=1.14,0.0,0.0,,,0.0
Kejon Owens,RB,Florida International,0,2026,6,Myles Gaskin,Washington,0,2019,78.2,0.442,slap_score,draft_capital=0.40; size_speed=0.99; production=0.21; slap_score=1.17,0.0,0.0,16.42,16.42,10.211764705882352
Kejon Owens,RB,Florida International,0,2026,7,Kyle Monangai,Rutgers,0,2025,78.2,0.442,slap_score,draft_capital=0.43; size_speed=0.85; production=0.29; slap_score=1.18,,,,,
Kejon Owens,RB,Florida International,0,2026,8,Cullen Gillaspia,Texas A&M,0,2019,78.0,0.442,slap_score,draft_capital=0.56; size_speed=0.00; production=0.11; slap_score=1.24,0.0,0.0,,,0.0
Kejon Owens,RB,Florida International,0,2026,9,Chandler Cox,Auburn,0,2019,77.8,0.442,slap_score,draft_capital=0.43; size_speed=0.00; production=0.41; slap_score=1.25,0.0,0.0,,,0.0
Kejon Owens,RB,Florida International,0,2026,10,Zander Horvath,Purdue,0,2022,77.4,0.442,production,draft_capital=0.01; size_speed=0.00; production=1.27; slap_score=1.00,0.0,0.0,2.325,2.325,1.0941176470588234
Curtis Allen,RB,Virginia Union,0,2026,1,Jacory Croskey-Merritt,Arizona,0,2025,81.9,0.342,slap_score,draft_capital=0.17; size_speed=0.00; slap_score=0.94,,,,,
Curtis Allen,RB,Virginia Union,0,2026,2,Devante Mays,Utah St.,0,2017,80.1,0.342,slap_score,draft_capital=0.26; size_speed=0.00; slap_score=1.02,0.0,0.0,,,0.0647058823529411
Curtis Allen,RB,Virginia Union,0,2026,3,Zander Horvath,Purdue,0,2022,80.1,0.342,slap_score,draft_capital=0.01; size_speed=0.00; slap_score=1.04,0.0,0.0,2.325,2.325,1.0941176470588234
Curtis Allen,RB,Virginia Union,0,2026,4,Raymond Calais,Louisiana,0,2020,78.2,0.342,slap_score,draft_capital=0.17; size_speed=0.27; slap_score=1.13,0.0,0.0,,,0.0
Curtis Allen,RB,Virginia Union,0,2026,5,Daniel Lasco,California,0,2016,77.8,0.342,slap_score,draft_capital=0.29; size_speed=0.70; slap_score=1.10,0.0,0.0,,,0.3705882352941176
Curtis Allen,RB,Virginia Union,0,2026,6,Zac Brooks,Clemson,0,2016,77.4,0.342,slap_score,draft_capital=0.13; size_speed=0.00; slap_score=1.18,0.0,0.0,,,0.0
Curtis Allen,RB,Virginia Union,0,2026,7,Jermar Jefferson,Oregon St.,0,2021,76.5,0.342,slap_score,draft_capital=0.03; size_speed=0.82; slap_score=1.17,0.0,0.0,,,1.5117647058823531
Curtis Allen,RB,Virginia Union,0,2026,8,Chris Carson,Oklahoma St.,0,2017,76.2,0.342,slap_score,draft_capital=0.12; size_speed=0.19; slap_score=1.24,1.0,1.0,15.65,15.506667,13.682352941176472
Curtis Allen,RB,Virginia Union,0,2026,9,DeWayne McBride,Ala-Birmingham,0,2023,76.2,0.342,slap_score,draft_capital=0.53; size_speed=0.16; slap_score=1.18,0.0,0.0,,,0.0
Curtis Allen,RB,Virginia Union,0,2026,10,Khalfani Muhammad,California,0,2017,76.1,0.342,slap_score,draft_capital=0.24; size_speed=0.00; slap_score=1.24,0.0,0.0,,,0.0
Kenyon Sadiq,TE,Oregon,0,2026,1,Cole Kmet,Notre Dame,0,2020,90.8,0.55,production,draft_capital=0.26; size_speed=0.28; production=0.51; slap_score=0.27,0.0,0.0,12.073333333333332,8.66470588235294,12.073333333333332
