player_name,draft_year,pick,breakout_age,RAS,team_quality,predicted_ppg,slap_regression,slap_current,best_ppg,hit24
Christian Watson,2022,34,,9.96,0,7.571034683312866,31.465945834670908,47.47626527568367,9.65294117647059,0
Wan'Dale Robinson,2022,43,21.0,7.36,1,6.6182725367389725,26.64148434098401,50.4790519383282,10.74705882352941,0
John Metchie,2022,44,20.0,,5,8.193826693492527,34.61955146698137,54.31163362346741,3.864705882352941,0
Tyquan Thornton,2022,50,19.0,8.54,1,8.391726981777508,35.62165080925029,58.22849111719428,3.9,0
George Pickens,2022,52,19.0,9.35,0,8.006714895677595,33.67208134884244,59.058252382689474,12.841176470588236,0
Alec Pierce,2022,53,19.0,9.83,2,8.183140272221909,34.56543908635121,59.581395855600555,9.494117647058824,0
Skyy Moore,2022,54,19.0,7.58,1,8.107211664306796,34.18096259715296,56.3819478970223,3.6941176470588233,0
Velus Jones Jr.,2022,71,21.0,7.1,4,4.769059184103371,17.27770068786194,46.727271485994436,2.235294117647059,0
Jalen Tolbert,2022,88,19.0,8.62,1,7.338966357377727,30.29083124137548,54.84029010218666,8.941176470588236,0
David Bell,2022,99,19.0,3.98,2,6.061888984336293,23.824148415181387,47.89465006053763,3.652941176470588,0
Danny Gray,2022,105,21.0,6.76,2,3.978546856798623,13.274816760240673,44.145113731084265,0.17058823529411765,0
Erik Ezukanma,2022,125,20.0,7.03,0,5.046265323909512,18.68137772532345,47.32103966297408,0.12941176470588237,0
Romeo Doubs,2022,132,19.0,,0,7.099490437533992,29.078207127260608,51.53766064868073,12.576470588235296,0
Calvin Austin III,2022,138,20.0,9.05,0,5.426024717206481,20.60434934674589,49.64460792778293,7.311764705882353,0
Khalil Shakir,2022,148,19.0,8.31,1,6.06536606647111,23.84175516932263,51.96635463523259,12.81764705882353,0
Montrell Washington,2022,162,,4.32,0,2.4334627586714026,5.451039584869232,30.44408557595144,3.341176470588235,0
