player_name,position,draft_year,pick,seasons_played,best_rank,best_ppr,hit24,hit12,RAS,breakout_age,best_ppg,dc_raw,breakout_score,dc_norm,breakout_norm,ras_norm,slap_score,athletic_status,athletic_contrib,delta
Ja'Marr Chase,WR,2021,5,3,3.0,375.5999953746796,1,1,9.82,19.0,22.094117374981153,0.4472135954999579,90,115.20463093791166,63.62218280635726,68.24896205386237,90.10742375926023,observed,10.237344308079356,-25.09720717865143
Jaylen Waddle,WR,2021,6,3,11.0,267.40000000000003,1,1,,,15.729411764705885,0.4082482904638631,25,107.37733670110053,25.96215469072998,,98.77073619593546,elite_optout_full,0.0,-8.606600505165076
DeVonta Smith,WR,2021,10,3,8.0,295.3,1,1,,20.0,17.370588235294118,0.31622776601683794,75,88.89238656391242,54.931407087366345,,74.90046301957543,elite_optout,0.0,-13.991923544336998
Kadarius Toney,WR,2021,20,3,91.0,82.3600001335144,0,0,8.99,21.0,4.84470589020673,0.22360679774997896,60,70.28682013881998,46.24063136837544,61.3015369545965,60.52286159153086,observed,9.195230543189474,-9.763958547289114
Rashod Bateman,WR,2021,27,3,71.0,103.49999952316284,0,0,8.04,18.0,6.088235266068402,0.19245008972987526,100,64.02810560039002,69.41603328568453,53.34966485302712,64.31211417813867,observed,8.002449727954067,0.28400857774865074
Elijah Moore,WR,2021,34,3,54.0,138.19999998807907,0,0,8.69,19.0,8.12941176400465,0.17149858514250882,90,59.81939759830194,63.62218280635726,58.790419448837746,60.99602569870167,observed,8.81856291732566,1.176628100399732
Rondale Moore,WR,2021,49,3,62.0,119.29999947547913,0,0,9.33,18.0,7.01764702796936,0.14285714285714285,100,54.065946010369196,69.41603328568453,64.14747012778975,60.950705174342644,observed,9.622120519168462,6.884759163973449
D'Wayne Eskridge,WR,2021,56,3,146.0,28.299999833106995,0,0,6.71,20.0,1.6647058725357056,0.1336306209562122,75,52.21253560760018,54.931407087366345,42.21704391083001,51.664816871002806,observed,6.332556586624501,-0.5477187365973748
Tutu Atwell,WR,2021,57,2,59.0,123.2,0,0,6.25,19.0,7.247058823529412,0.13245323570650439,90,51.9760241579655,63.62218280635726,38.366663735333255,54.01077562150777,observed,5.754999560299988,2.034751463542271
Terrace Marshall Jr.,WR,2021,59,3,90.0,83.0,0,0,9.76,20.0,4.882352941176471,0.13018891098082389,75,51.521169875183155,54.931407087366345,67.74673855271061,55.14858820107639,observed,10.162010782906592,3.627418325893238
Josh Palmer,WR,2021,77,3,39.0,174.4,0,0,7.59,18.0,10.258823529411766,0.11396057645963795,100,48.26124545901202,69.41603328568453,49.582988594389,55.863682668653944,observed,7.4374482891583495,7.602437209641927
Dyami Brown,WR,2021,82,3,133.0,34.96,0,0,8.38,19.0,2.0564705882352943,0.11043152607484653,90,47.552334911212995,63.62218280635726,56.19559802622038,54.473271141764585,observed,8.429339703933056,6.92093623055159
Amari Rodgers,WR,2021,85,3,123.0,43.1,0,0,5.35,20.0,2.5352941176470587,0.10846522890932808,75,47.157347974571195,54.931407087366345,30.83331121805701,47.42966315057237,observed,4.624996682708551,0.2723151760011717
Nico Collins,WR,2021,89,3,7.0,294.2,1,1,9.57,19.0,17.305882352941175,0.105999788000636,90,46.662093763217584,63.62218280635726,66.15636413239675,55.522265483693346,observed,9.92345461985951,8.860171720475762
Anthony Schwartz,WR,2021,91,2,137.0,33.39999985694885,0,0,6.89,20.0,1.9647058739381678,0.10482848367219183,75,46.42680384026971,54.931407087366345,43.723714414285254,48.99795156285587,observed,6.558557162142788,2.5711477225861543
Dez Fitzpatrick,WR,2021,109,1,163.0,15.900000095367432,0,0,8.81,21.0,0.9352941232569078,0.09578262852211514,60,44.609685513654924,46.24063136837544,59.79486645114125,47.45829370343005,observed,8.969229967671188,2.8486081897751276
Amon-Ra St. Brown,WR,2021,112,3,6.0,333.2,1,1,7.13,18.0,19.599999999999998,0.0944911182523068,100,44.350248794699716,69.41603328568453,45.732608418892255,53.330627310173284,observed,6.859891262833838,8.980378515473568
Jaelon Darden,WR,2021,129,2,175.0,11.399999976158142,0,0,7.14,20.0,0.6705882338916554,0.08804509063256238,75,43.05538007003266,54.931407087366345,45.81631233575088,47.62612936595718,observed,6.872446850362632,4.5707492959245215
Tylan Wallace,WR,2021,131,3,179.0,8.1,0,0,4.71,20.0,0.4764705882352941,0.0873704056661038,75,42.91985032774699,54.931407087366345,25.47626053910501,44.50735672531747,observed,3.8214390808657512,1.587506397570479
Jacob Harris,WR,2021,141,1,212.0,1.6,0,0,9.88,,0.09411764705882353,0.0842151921066519,25,42.28603558186143,25.96215469072998,68.75118555501413,40.54244976593832,observed,10.312677833252119,-1.7435858159231046
Ihmir Smith-Marsette,WR,2021,157,3,141.0,32.5,0,0,6.81,20.0,1.911764705882353,0.07980868844676221,75,41.40086348659381,54.931407087366345,43.05408307941625,46.384536685787566,observed,6.458112461912438,4.983673199193753
Simi Fehoko,WR,2021,179,2,180.0,7.9,0,0,9.18,22.0,0.4647058823529412,0.07474350927519359,45,40.383377605210136,37.549855649384526,62.89191137491037,42.767924986126204,observed,9.433786706236555,2.384547380916068
Cornell Powell,WR,2021,181,0,,0.0,0,0,7.57,22.0,0.0,0.07432941462471664,45,40.30019486948741,37.549855649384526,49.41558076067175,40.70488402612905,observed,7.412337114100763,0.40468915664163774
Frank Darby,WR,2021,187,2,206.0,2.5,0,0,5.89,,0.14705882352941177,0.07312724241271307,25,40.058704250641924,25.96215469072998,35.353322728422754,34.41910467633987,observed,5.302998409263413,-5.6395995743020535
Marquez Stevenson,WR,2021,203,0,,0.0,0,0,5.37,20.0,0.0,0.07018624063435965,75,39.467920058170364,54.931407087366345,31.00071905177426,43.61006036742954,observed,4.650107857766139,4.142140309259176
Shi Smith,WR,2021,204,2,106.0,61.6,0,0,6.78,21.0,3.623529411764706,0.07001400420140048,60,39.43332145210732,46.24063136837544,42.802971328840385,42.32132740431113,observed,6.4204456993260575,2.8880059522038053
Racey McMath,WR,2021,205,2,182.0,6.4,0,0,7.43,,0.3764705882352941,0.06984302957695782,25,39.3989763163179,25.96215469072998,48.243725924651,36.02280118861209,observed,7.23655888869765,-3.3761751277058067
Jalen Camp,WR,2021,209,1,209.0,1.7000000000000002,0,0,9.75,,0.1,0.06917144638660747,25,39.26406965434004,25.96215469072998,67.663034635852,38.86824416430331,observed,10.149455195377799,-0.39582549003672796
Seth Williams,WR,2021,219,1,202.0,4.400000095367432,0,0,6.86,19.0,0.25882353502161365,0.06757373783994859,90,38.94312426746876,63.62218280635726,43.47260266370938,48.26021651551582,observed,6.520890399556407,9.31709224804706
Dazz Newsome,WR,2021,221,1,204.0,4.299999952316284,0,0,2.13,20.0,0.25294117366566377,0.06726727939963124,75,38.881563338290974,54.931407087366345,3.880649989579773,39.24887164816067,observed,0.5820974984369659,0.3673083098696992
Mike Strachan,WR,2021,229,3,175.0,8.9,0,0,9.22,,0.5235294117647059,0.06608186004550898,25,38.64343800935718,25.96215469072998,63.226727042344876,37.892482202785814,observed,9.48400905635173,-0.7509558065713691
Tre Nixon,WR,2021,242,0,,0.0,0,0,8.97,21.0,0.0,0.0642824346533225,60,38.281972033695354,46.24063136837544,61.13412912087925,44.49532636391097,observed,9.170119368131887,6.213354330215616
Ben Skowronek,WR,2021,249,3,88.0,84.30000000000001,0,0,,,4.958823529411766,0.06337242505244779,25,38.09917061849352,25.96215469072998,,35.63633945100225,imputed_avg,7.5,-2.4628311674912666
Kawaan Baker,WR,2021,255,0,,0.0,0,0,9.08,20.0,0.0,0.06262242910851495,75,37.94851251574956,54.931407087366345,62.05487220632412,47.508479569401615,observed,9.308230830948618,9.559967053652052
Dax Milne,WR,2021,258,2,157.0,15.7,0,0,4.56,21.0,0.9235294117647058,0.062257280636469035,60,37.87516201770578,46.24063136837544,24.220701786225632,38.75490725571814,observed,3.6331052679338445,0.8797452380123545
Drake London,WR,2022,8,3,7.0,280.8,1,1,,19.0,16.51764705882353,0.35355339059327373,90,96.3903041565471,63.62218280635726,,82.88983816026888,elite_optout,0.0,-13.500465996278223
Garrett Wilson,WR,2022,10,3,16.0,251.9,1,0,7.77,20.0,14.81764705882353,0.31622776601683794,75,88.89238656391242,54.931407087366345,51.08965909784425,71.33563462721106,observed,7.663448864676637,-17.55675193670136
Chris Olave,WR,2022,11,3,21.0,231.3,1,0,8.64,19.0,13.605882352941178,0.30151134457776363,90,85.93617306552338,63.62218280635726,58.37189986454463,73.99163549466842,observed,8.755784979681694,-11.944537570854962
Jameson Williams,WR,2022,12,6,6.0,294.1,1,1,,20.0,17.3,0.2886751345948129,75,83.35765373072088,54.931407087366345,,71.64604011365881,elite_optout,0.0,-11.71161361706207
Jahan Dotson,WR,2022,16,3,54.0,130.6,0,0,6.33,20.0,7.68235294117647,0.25,75,75.58864851334988,54.931407087366345,39.03629507020226,62.8757609977835,observed,5.855444260530338,-12.71288751556638
Treylon Burks,WR,2022,18,3,83.0,88.1,0,0,5.79,19.0,5.18235294117647,0.23570226039551587,90,72.7165392176075,63.62218280635726,34.51628355983651,63.803476125004266,observed,5.177442533975476,-8.913063092603238
Christian Watson,WR,2022,34,3,43.0,164.10000000000002,0,0,9.96,,9.65294117647059,0.17149858514250882,25,59.81939759830194,25.96215469072998,69.42081688988313,49.40957547438893,observed,10.413122533482468,-10.40982212391301
Wan'Dale Robinson,WR,2022,43,3,39.0,182.7,0,0,7.36,20.0,10.74705882352941,0.15249857033260467,75,56.00270204611453,54.931407087366345,47.65779850664063,54.37601327963158,observed,7.148669775996095,-1.6266887664829497
John Metchie,WR,2022,44,2,101.0,65.7,0,0,,21.0,3.864705882352941,0.15075567228888181,60,55.65259120262584,46.24063136837544,,51.51051658024433,imputed_avg,7.5,-4.142074622381514
Tyquan Thornton,WR,2022,50,3,100.0,66.3,0,0,8.54,18.0,3.9,0.1414213562373095,100,53.77752726645582,69.41603328568453,57.534860695958365,59.81460438761125,observed,8.630229104393754,6.037077121155427
George Pickens,WR,2022,52,3,29.0,218.3,0,0,9.35,18.0,12.841176470588236,0.1386750490563073,100,53.22585304369639,69.41603328568453,64.314877961507,60.55576986606383,observed,9.647231694226049,7.329916822367437
Alec Pierce,WR,2022,53,3,43.0,161.4,0,0,9.83,19.0,9.494117647058824,0.13736056394868904,90,52.961801172481636,63.62218280635726,68.332665970721,58.99856446407401,observed,10.249899895608149,6.036763291592372
Skyy Moore,WR,2022,54,3,104.0,62.8,0,0,7.58,18.0,3.6941176470588233,0.13608276348795434,100,52.7051184601857,69.41603328568453,49.499284677530376,58.07306358171199,observed,7.424892701629556,5.36794512152629
Velus Jones Jr.,WR,2022,71,3,105.0,38.0,0,0,7.1,24.0,2.235294117647059,0.11867816581938533,15,49.208908000675336,20.16830421140271,45.481496668316375,38.48558497457607,observed,6.822224500247456,-10.723323026099266
Jalen Tolbert,WR,2022,88,3,46.0,152.0,0,0,8.62,20.0,8.941176470588236,0.10660035817780521,75,46.78273543360109,54.931407087366345,58.20449203082737,51.34803400200287,observed,8.730673804624105,4.565298568401779
David Bell,WR,2022,99,3,99.0,62.1,0,0,3.98,18.0,3.652941176470588,0.10050378152592121,100,45.558063914993326,69.41603328568453,19.365874608425386,49.97952479875006,observed,2.904881191263808,4.421460883756737
Danny Gray,WR,2022,105,1,203.0,2.9,0,0,6.76,22.0,0.17058823529411765,0.09759000729485333,45,44.97274915292282,37.549855649384526,42.63556349512313,42.024158578014465,observed,6.39533452426847,-2.9485905749083585
Erik Ezukanma,WR,2022,125,3,195.0,2.2,0,0,7.03,20.0,0.12941176470588237,0.08944271909999159,75,43.33613365936497,54.931407087366345,44.895569250306,47.6283946978066,observed,6.7343353875459,4.29226103844163
Romeo Doubs,WR,2022,132,3,30.0,213.8,0,0,,19.0,12.576470588235296,0.08703882797784893,90,42.85324348029826,63.62218280635726,,51.194385722374165,imputed_avg,7.5,8.341142242075904
Calvin Austin III,WR,2022,138,2,65.0,124.3,0,0,9.05,21.0,7.311764705882353,0.08512565307587486,60,42.4689276672856,46.24063136837544,61.803760455748254,46.68924888093643,observed,9.270564068362237,4.220321213650834
