player_name,position,college,draft_year,pick,round,dataset_label,data_quality_flag,outlier_note,slap_display_score,slap_model_score,dc_score,prospect_profile,dataset,enhanced_breakout,teammate_score,early_declare_score,production_score,speed_score,te_breakout_score,te_production_score,ras_score,breakout_age,broke_out,peak_dominator,peak_dominator_imputed,rush_yards,rec_yards,team_pass_att,ryptpa,model_version,data_as_of_date,pos_rank
R.J. Maryland,TE,SMU,2026,258,7,UDFA,complete,,1.6,25.34,1.0,22.3,2026_prospect,,,,,,28.3,4.6,40.0,21.0,True,18.15,False,,322.0,460.0,0.7,V5.0,2026-05-04,22
DJ Rogers,TE,TCU,2026,258,7,UDFA,complete,,1.6,24.67,1.0,20.7,2026_prospect,,,,,,23.5,5.0,40.0,,False,8.508935716190983,False,,319.0,460.0,0.6935,V5.0,2026-05-04,22
Miles Kitselman,TE,Tennessee,2026,258,7,UDFA,complete,,1.6,24.74,1.0,20.9,2026_prospect,,,,,,25.5,3.5,40.0,22.0,True,15.63,False,,253.0,437.0,0.5789,V5.0,2026-05-04,22
Ethan Davis,TE,Tennessee,2026,258,7,UDFA,complete,,1.6,24.21,1.0,19.5,2026_prospect,,,,,,21.8,3.6,40.0,,False,6.756046267087276,False,,257.0,437.0,0.5881,V5.0,2026-05-04,22
Jameson Geers,TE,Minnesota,2026,258,7,UDFA,complete,,1.6,24.57,1.0,20.4,2026_prospect,,,,,,25.1,2.7,40.0,22.0,True,15.84,False,,206.0,399.0,0.5163,V5.0,2026-05-04,22
Josh Kattus,TE,Kentucky,2026,258,7,UDFA,complete,,1.6,24.28,1.0,19.7,2026_prospect,,,,,,23.0,2.9,40.0,23.0,True,20.7,False,,195.0,367.0,0.5313,V5.0,2026-05-04,22
Andrew Rappleyea,TE,Penn State,2026,258,7,UDFA,complete,,1.6,24.19,1.0,19.5,2026_prospect,,,,,,22.4,2.9,40.0,,False,7.395234182415776,False,,180.0,339.0,0.531,V5.0,2026-05-04,22
Jaleel Skinner,TE,Louisville,2026,258,7,UDFA,complete,,1.6,24.12,1.0,19.3,2026_prospect,,,,,,22.2,2.6,40.0,,False,8.39,False,,204.0,418.0,0.488,V5.0,2026-05-04,22
Khalil Dinkins,TE,Penn State,2026,258,7,UDFA,complete,,1.6,24.04,1.0,19.1,2026_prospect,,,,,,21.9,2.4,40.0,,False,7.83,False,,167.0,339.0,0.4926,V5.0,2026-05-04,22
Benji Gosnell,TE,Virginia Tech,2026,258,7,UDFA,complete,,1.6,24.74,1.0,20.8,2026_prospect,,,,,,28.9,0.0,40.0,,False,13.878713878713878,False,,86.0,319.0,0.2696,V5.0,2026-05-04,22
Amari Niblack,TE,Texas A&M,2026,258,7,UDFA,complete,,1.6,24.24,1.0,19.6,2026_prospect,,,,,,25.6,0.0,40.0,,False,14.11,False,,69.0,408.0,0.1691,V5.0,2026-05-04,22
Luke Hasz,TE,Mississippi,2026,258,7,UDFA,complete,,1.6,24.34,1.0,19.8,2026_prospect,,,,,,26.2,0.0,40.0,20.0,True,15.03,False,,28.0,523.0,0.0535,V5.0,2026-05-04,22
Cooper Flanagan,TE,Notre Dame,2026,258,7,UDFA,complete,,1.0,23.91,1.0,18.8,2026_prospect,,,,,,16.7,6.6,40.0,,False,6.75,False,,55.0,329.0,0.1672,V5.0,2026-05-04,46
Tanner Arkin,TE,Illinois,2026,258,7,UDFA,complete,,1.0,23.4,1.0,17.5,2026_prospect,,,,,,19.9,0.0,40.0,,False,6.46,False,,114.0,372.0,0.3065,V5.0,2026-05-04,46
Jack Pedersen,TE,UCLA,2026,258,7,UDFA,complete,,1.0,23.28,1.0,17.2,2026_prospect,,,,,,19.2,0.0,40.0,,False,5.57,False,,72.0,361.0,0.1994,V5.0,2026-05-04,46
Holden Staes,TE,Indiana,2026,258,7,UDFA,complete,,1.0,23.47,1.0,17.7,2026_prospect,,,,,,20.5,0.0,40.0,,False,5.472636815920398,False,,62.0,406.0,0.1527,V5.0,2026-05-04,46
Davin Stoffel,TE,Illinois,2026,258,7,UDFA,complete,,1.0,22.77,1.0,15.9,2026_prospect,,,,,,15.8,0.0,40.0,,False,2.93,False,,24.0,372.0,0.0645,V5.0,2026-05-04,46
Joey Schlaffer,TE,Penn State,2026,258,7,UDFA,complete,,1.0,22.77,1.0,15.9,2026_prospect,,,,,,15.8,0.0,40.0,,False,5.43,False,,19.0,339.0,0.056,V5.0,2026-05-04,46
