player_name,position,school,draft_year,pick,round,dc_score,production_score,production_metric,ras_score,slap_score,delta_vs_dc,production_status,ras_status,rec_yards,team_pass_att,nfl_best_ppr,nfl_best_ppg,nfl_hit24,nfl_hit12,data_type
Darwin Thompson,RB,Utah St.,2019,214,6,35.55517645503487,30.0,receiving_production,79.9,40.26258822751743,4.7074117724825655,imputed,observed,,,33.2,1.9529411764705884,0,0,backtest
Ryquell Armstead,RB,Temple,2019,140,5,51.018045072501344,7.0428893905191865,receiving_production,77.1,39.53903382293239,-11.479011249568956,observed,observed,52.0,443.0,51.2,3.011764705882353,0,0,backtest
Dexter Williams,RB,Notre Dame,2019,194,6,39.500337629514114,19.09090909090909,receiving_production,81.30000000000001,38.62698699657524,-0.8733506329388732,observed,observed,133.0,418.0,1.1,0.0647058823529411,0,0,backtest
Devin Singletary,RB,Florida Atlantic,2019,74,3,67.79531439030325,5.934065934065933,receiving_production,16.5,38.449580272074705,-29.345734118228542,observed,observed,36.0,364.0,237.3,13.958823529411765,1,1,backtest
Ty Johnson,RB,Maryland,2019,186,6,41.12133897642805,5.737996443390633,receiving_production,97.4,37.178968243400746,-3.9423707330273032,observed,observed,22.0,241.0,117.0,6.882352941176471,0,0,backtest
Kerrith Whyte Jr,RB,Florida Atlantic,2019,222,7,34.016695121333115,26.37362637362637,receiving_production,66.5,36.214116791435785,2.1974216701026705,observed,imputed,160.0,364.0,0.0,0.0,0,0,backtest
Jordan Scarlett,RB,Florida,2019,154,5,47.89026274987726,13.186813186813186,receiving_production,47.1,35.625515990323244,-12.264746759554015,observed,observed,84.0,364.0,0.9,0.0529411764705882,0,0,backtest
Qadree Ollison,RB,Pittsburgh,2019,152,5,48.330261866611345,12.57142857142857,receiving_production,44.3,35.21013093330567,-13.120130933305674,observed,observed,66.0,315.0,30.7,1.8058823529411765,0,0,backtest
Mike Weber,RB,Ohio St.,2019,218,7,34.78325386350022,12.021466905187834,receiving_production,70.1,32.114140348565854,-2.6691135149343665,observed,observed,112.0,559.0,0.0,0.0,0,0,backtest
Chandler Cox,RB,Auburn,2019,233,7,31.93525043772044,12.116679132385938,receiving_production,66.5,30.1834629151953,-1.7517875225251416,observed,imputed,81.0,382.0,0.0,0.0,0,0,backtest
Cullen Gillaspia,RB,Texas A&M,2019,220,7,34.399312454218645,6.430198503091441,receiving_production,66.5,29.425225703191323,-4.974086751027322,observed,imputed,52.0,439.0,0.0,0.0,0,0,backtest
Myles Gaskin,RB,Washington,2019,234,7,31.7479002688044,11.407407407407407,receiving_production,59.3,28.761542726994794,-2.986357541809607,observed,observed,77.0,405.0,173.6,10.211764705882352,0,0,backtest
Antonio Gibson,RB,Memphis,2020,66,3,70.1649400864357,99.9,receiving_production,66.5,80.02247004321785,9.857529956782145,observed,imputed,735.0,441.0,229.1,13.476470588235296,1,0,backtest
Jonathan Taylor,RB,Wisconsin,2020,41,2,78.40408953083528,45.128205128205124,receiving_production,95.3,69.29191656028944,-9.112172970545842,observed,observed,252.0,351.0,373.1,21.947058823529414,1,1,backtest
Clyde Edwards-Helaire,RB,LSU,2020,32,1,81.82194951930317,50.21919879062735,receiving_production,54.1,66.60269433637116,-15.219255182932017,observed,observed,453.0,567.0,194.4,11.43529411764706,1,0,backtest
D'Andre Swift,RB,Georgia,2020,35,2,80.64628526255893,32.71600688468158,receiving_production,75.5,63.09874504091802,-17.547540221640915,observed,observed,216.0,415.0,214.5,12.617647058823527,1,0,backtest
Cam Akers,RB,Florida St.,2020,52,2,74.59433316596373,32.738095238095234,receiving_production,87.89999999999999,61.94049991631519,-12.653833249648542,observed,observed,225.0,432.0,146.0,8.588235294117647,0,0,backtest
Zack Moss,RB,Utah,2020,86,3,64.41603636571921,72.52336448598129,receiving_production,28.0,61.79119575295306,-2.6248406127661497,observed,observed,388.0,321.0,169.6,9.976470588235294,0,0,backtest
J.K. Dobbins,RB,Ohio St.,2020,55,2,73.61036829159038,38.24067558057705,receiving_production,66.5,60.164420598997154,-13.445947692593222,observed,imputed,247.0,406.0,194.4,11.43529411764706,1,0,backtest
AJ Dillon,RB,Boston Col.,2020,62,2,71.3905481598709,38.36065573770492,receiving_production,66.5,59.09650358813217,-12.29404457173873,observed,imputed,195.0,305.0,117.6,6.91764705882353,0,0,backtest
Darrynton Evans,RB,Appalachian St.,2020,93,3,62.52775678229379,30.0,receiving_production,91.1,55.428878391146895,-7.098878391146897,imputed,observed,,,30.0,1.7647058823529411,0,0,backtest
Ke'Shawn Vaughn,RB,Illinois,2020,76,3,67.21839332711826,30.0,receiving_production,51.7,51.864196663559134,-15.35419666355913,imputed,observed,,,50.8,2.988235294117647,0,0,backtest
Malcolm Perry,RB,Navy,2020,246,7,29.522912468546167,73.97563676633443,receiving_production,66.5,50.627929102490135,21.10501663394397,observed,imputed,167.0,129.0,24.7,1.4529411764705882,0,0,backtest
La'Mical Perine,RB,Florida,2020,120,4,55.70142651358927,33.66167023554603,receiving_production,52.5,47.50729783923575,-8.194128674353522,observed,observed,262.0,467.0,52.5,3.088235294117647,0,0,backtest
Eno Benjamin,RB,Arizona St.,2020,222,7,34.016695121333115,56.948899664304356,receiving_production,57.599999999999994,45.58046244317308,11.563767321839968,observed,observed,347.0,383.0,89.60000000000001,5.270588235294119,0,0,backtest
Anthony McFarland Jr.,RB,Maryland,2020,124,4,54.7423430815597,22.105263157894733,receiving_production,66.5,45.08301364604301,-9.659329435516696,observed,imputed,126.0,342.0,0.0,0.0,0,0,backtest
Joshua Kelley,RB,UCLA,2020,112,4,57.65686444404836,9.999999999999998,receiving_production,75.9,43.713432222024174,-13.943432222024185,observed,observed,71.0,426.0,81.2,4.776470588235294,0,0,backtest
Jason Huntley,RB,New Mexico St.,2020,172,5,44.02338900352743,25.82959641255605,receiving_production,80.8,43.17205324615833,-0.8513357573690996,observed,observed,192.0,446.0,5.1000000000000005,0.3,0,0,backtest
DeeJay Dallas,RB,Miami (FL),2020,144,4,50.1127276424061,20.137299771167047,receiving_production,66.5,42.07941874111152,-8.033308901294582,observed,imputed,140.0,437.0,60.1,3.5352941176470587,0,0,backtest
Raymond Calais,RB,Louisiana,2020,245,7,29.706728556907052,9.757281553398057,receiving_production,76.0,29.668412822142848,-0.038315734764204024,observed,observed,67.0,412.0,0.0,0.0,0,0,backtest
Travis Etienne,RB,Clemson,2021,25,1,84.74230353324101,71.99999999999999,receiving_production,91.19999999999999,81.2511517666205,-3.4911517666205185,observed,observed,588.0,490.0,282.4,16.61176470588235,1,1,backtest
Najee Harris,RB,Alabama,2021,24,1,85.18360526375135,57.14285714285713,receiving_production,66.5,72.56680263187566,-12.616802631875686,observed,imputed,425.0,425.0,303.5,17.852941176470587,1,1,backtest
Javonte Williams,RB,North Carolina,2021,35,2,80.64628526255893,53.701480592236884,receiving_production,87.89999999999999,72.30366083856238,-8.342624423996554,observed,observed,305.0,357.0,204.9,12.052941176470588,1,0,backtest
Kenneth Gainwell,RB,Memphis,2021,150,5,48.77246656402318,82.99319727891155,receiving_production,56.6,61.923852329630634,13.15138576560745,observed,observed,610.0,441.0,139.9,8.229411764705883,0,0,backtest
