player_name,position,school,draft_year,pick,round,dc_score,production_score,production_metric,ras_score,slap_score,delta_vs_dc,production_status,ras_status,rec_yards,team_pass_att,nfl_best_ppr,nfl_best_ppg,nfl_hit24,nfl_hit12,data_type
Alexander Mattison,RB,Boise St.,2019,102,3,3.9686380768157115,37.608695652173914,receiving_production,68.1,25.362362516668725,21.393724439853013,observed,observed,173.0,460.0,137.4,8.08235294117647,0,0,backtest
Benny Snell Jr.,RB,Kentucky,2019,122,4,3.0649043981746686,35.59322033898305,receiving_production,66.5,23.9650793177314,20.900174919556733,observed,imputed,105.0,295.0,0.0,0.0,0,0,backtest
Dexter Williams,RB,Notre Dame,2019,194,6,1.067512069957944,31.818181818181817,receiving_production,81.30000000000001,23.865119671342608,22.797607601384666,observed,observed,133.0,418.0,1.1,0.0647058823529411,0,0,backtest
Darwin Thompson,RB,Utah St.,2019,214,6,0.7011562136365626,30.0,receiving_production,79.9,22.835578106818282,22.13442189318172,imputed,observed,,,33.2,1.9529411764705884,0,0,backtest
Justice Hill,RB,Oklahoma St.,2019,113,4,3.4418246912305497,13.849287169042771,receiving_production,93.3,20.563162854780245,17.121338163549694,observed,observed,68.0,491.0,147.3,8.664705882352942,0,0,backtest
Bryce Love,RB,Stanford,2019,112,4,3.4864870844960096,23.404255319148938,receiving_production,66.5,19.909732903950133,16.423245819454124,observed,imputed,99.0,423.0,0.0,0.0,0,0,backtest
Ty Johnson,RB,Maryland,2019,186,6,1.2303461584302213,9.12863070539419,receiving_production,97.4,18.420193826103077,17.189847667672854,observed,observed,22.0,241.0,117.0,6.882352941176471,0,0,backtest
Mike Weber,RB,Ohio St.,2019,218,7,0.6340028068493889,20.03577817531306,receiving_production,70.1,17.844523764784263,17.210520957934875,observed,observed,112.0,559.0,0.0,0.0,0,0,backtest
Chandler Cox,RB,Auburn,2019,233,7,0.3977716001799912,21.20418848167539,receiving_production,66.5,17.59535176867638,17.19758016849639,observed,imputed,81.0,382.0,0.0,0.0,0,0,backtest
Ryquell Armstead,RB,Temple,2019,140,5,2.4232295358204,11.738148984198645,receiving_production,77.1,16.884966912379724,14.461737376559324,observed,observed,52.0,443.0,51.2,3.011764705882353,0,0,backtest
Jordan Scarlett,RB,Florida,2019,154,5,2.0040176308047317,23.076923076923077,receiving_production,47.1,16.143931892325444,14.139914261520712,observed,observed,84.0,364.0,0.9,0.0529411764705882,0,0,backtest
Myles Gaskin,RB,Washington,2019,234,7,0.38283553051649805,19.012345679012345,receiving_production,59.3,15.74073875291257,15.357903222396072,observed,observed,77.0,405.0,173.6,10.211764705882352,0,0,backtest
Qadree Ollison,RB,Pittsburgh,2019,152,5,2.0603385660912803,20.952380952380953,receiving_production,44.3,15.008502616378973,12.948164050287692,observed,observed,66.0,315.0,30.7,1.8058823529411765,0,0,backtest
Cullen Gillaspia,RB,Texas A&M,2019,220,7,0.601115001282459,11.845102505694761,receiving_production,66.5,14.421343377634395,13.820228376351936,observed,imputed,52.0,439.0,0.0,0.0,0,0,backtest
Devin Singletary,RB,Florida Atlantic,2019,74,3,5.805402187130084,9.89010989010989,receiving_production,16.5,8.839239555103504,3.03383736797342,observed,observed,36.0,364.0,237.3,13.958823529411765,1,1,backtest
Antonio Gibson,RB,Memphis,2020,66,3,6.534853034535545,100.0,receiving_production,66.5,48.24242651726777,41.70757348273223,observed,imputed,735.0,441.0,229.1,13.476470588235296,1,0,backtest
Malcolm Perry,RB,Navy,2020,246,7,0.210767775113679,100.0,receiving_production,66.5,45.08038388755684,44.86961611244316,observed,imputed,167.0,129.0,24.7,1.4529411764705882,0,0,backtest
Jonathan Taylor,RB,Wisconsin,2020,41,2,10.060921353726265,71.7948717948718,receiving_production,95.3,44.45366580506826,34.392744451342,observed,observed,252.0,351.0,373.1,21.947058823529414,1,1,backtest
Clyde Edwards-Helaire,RB,LSU,2020,32,1,12.256881569749087,79.8941798941799,receiving_production,54.1,42.206403747837506,29.94952217808842,observed,observed,453.0,567.0,194.4,11.43529411764706,1,0,backtest
Zack Moss,RB,Utah,2020,86,3,4.908505149028946,100.0,receiving_production,28.0,41.65425257451447,36.745747425485526,observed,observed,388.0,321.0,169.6,9.976470588235294,0,0,backtest
Eno Benjamin,RB,Arizona St.,2020,222,7,0.568672632556854,90.60052219321149,receiving_production,57.599999999999994,40.63451908390245,40.06584645134559,observed,observed,347.0,383.0,89.60000000000001,5.270588235294119,0,0,backtest
AJ Dillon,RB,Boston Col.,2020,62,2,6.951454351965995,63.934426229508205,receiving_production,66.5,35.82777635631086,28.876322004344868,observed,imputed,195.0,305.0,117.6,6.91764705882353,0,0,backtest
Cam Akers,RB,Florida St.,2020,52,2,8.195823969275274,52.083333333333336,receiving_production,87.89999999999999,35.51207865130431,27.316254682029033,observed,observed,225.0,432.0,146.0,8.588235294117647,0,0,backtest
D'Andre Swift,RB,Georgia,2020,35,2,11.431292043379745,52.04819277108433,receiving_production,75.5,35.257513491569384,23.82622144818964,observed,observed,216.0,415.0,214.5,12.617647058823527,1,0,backtest
J.K. Dobbins,RB,Ohio St.,2020,55,2,7.787062974303863,60.83743842364532,receiving_production,66.5,35.16163493542779,27.374571961123927,observed,imputed,247.0,406.0,194.4,11.43529411764706,1,0,backtest
La'Mical Perine,RB,Florida,2020,120,4,3.144986579351357,56.102783725910065,receiving_production,52.5,29.0834675937442,25.938481014392842,observed,observed,262.0,467.0,52.5,3.088235294117647,0,0,backtest
Jason Huntley,RB,New Mexico St.,2020,172,5,1.542184351925882,43.04932735426009,receiving_production,80.8,27.95835674995397,26.41617239802809,observed,observed,192.0,446.0,5.1000000000000005,0.3,0,0,backtest
Darrynton Evans,RB,Appalachian St.,2020,93,3,4.467499346521456,30.0,receiving_production,91.1,26.398749673260728,21.93125032673927,imputed,observed,,,30.0,1.7647058823529411,0,0,backtest
Anthony McFarland Jr.,RB,Maryland,2020,124,4,2.986767586942321,36.84210526315789,receiving_production,66.5,24.363120635576422,21.3763530486341,observed,imputed,126.0,342.0,0.0,0.0,0,0,backtest
