player_name,position,draft_year,pick,college,dc_score,production_score,ras_raw,ras_score,slap_score,slap_tier,best_season_ppg,hit24,hit12,rank
Rashaad Penny,RB,2018,27,San Diego St.,83.87932650686992,30.85034013605442,7.26,67.6,77.76246154444486,Good,7.158823529411765,0.0,0.0,82
Christian Kirk,WR,2018,47,Texas A&M,76.2836840704932,100.0,6.23,57.300000000000004,77.7061314599192,Good,16.805882352941175,1.0,1.0,83
Rondale Moore,WR,2021,49,Purdue,75.60012235068056,90.0,9.33,88.3,77.67510399807848,Good,7.017647058823529,0.0,0.0,84
Dorial Green-Beckham,WR,2015,40,Oklahoma,78.76865523265029,75.0,6.3,58.0,77.35335694775274,Good,6.641176470588236,0.0,0.0,85
Breece Hall,RB,2022,36,Iowa St.,80.26299861749231,43.63707025411061,9.96,94.60000000000001,77.31725585027952,Good,17.08823529411765,1.0,1.0,86
Zachariah Branch,WR,2026,47,Georgia,76.2836840704932,90.0,,68.94822695035461,77.28854280743694,Good,,,,87
Clyde Edwards-Helaire,RB,2020,32,LSU,81.82194951930317,51.82978080120938,5.41,49.1,77.18663517152862,Good,11.43529411764706,1.0,0.0,88
Laviska Shenault Jr.,WR,2020,42,Colorado,78.04288751567582,75.0,6.97,64.69999999999999,77.07145438832444,Good,9.241176470588234,0.0,0.0,89
Tyquan Thornton,WR,2022,50,Baylor,75.2623245415211,90.0,8.54,80.39999999999999,76.99297586029293,Good,3.9,0.0,0.0,90
George Pickens,WR,2022,52,Georgia,74.59433316596373,90.0,9.35,88.5,76.83018319106917,Good,12.841176470588236,0.0,0.0,91
Alec Pierce,WR,2022,53,Cincinnati,74.26400482294514,90.0,9.83,93.3,76.78940409950337,Good,9.494117647058824,0.0,0.0,92
A.J. Brown,WR,2019,51,Mississippi,74.92708446694223,90.0,8.59,80.9,76.7330217969009,Good,19.599999999999998,1.0,1.0,93
John Metchie,WR,2022,44,Alabama,77.33014043640625,75.0,,68.94822695035461,76.67803071846305,Good,3.864705882352941,0.0,0.0,94
Devin Funchess,WR,2015,41,Michigan,78.40408953083528,75.0,5.26,47.599999999999994,76.52347610120998,Good,0.0,0.0,0.0,95
Jayden Reed,WR,2023,50,Michigan St.,75.2623245415211,90.0,6.74,62.400000000000006,76.09297586029294,Good,13.270588235294117,1.0,0.0,96
Rashee Rice,WR,2023,55,SMU,73.61036829159038,90.0,9.53,90.29999999999998,76.08381304785182,Good,15.952941176470588,1.0,0.0,97
KJ Hamler,WR,2020,46,Penn St.,76.62960369267617,75.0,,68.94822695035461,76.08257448629247,Good,0.0,0.0,0.0,98
Jonathan Taylor,RB,2020,41,Wisconsin,78.40408953083528,46.38241758241758,9.53,90.29999999999998,75.79671785945175,Good,21.947058823529414,1.0,1.0,99
Sony Michel,RB,2018,31,Georgia,82.22305120306456,15.415706479313037,8.95,84.5,75.65616417053617,Good,12.388235294117647,1.0,0.0,100
Dalvin Cook,RB,2017,41,Florida St.,78.40408953083528,68.96866870263545,4.65,41.5,75.61534297147354,Good,19.87058823529412,1.0,1.0,101
Chris Bell,WR,2026,43,Louisville,77.68493914356304,60.0,,68.94822695035461,75.47960961954631,Good,,,,102
Wan'Dale Robinson,WR,2022,43,Kentucky,77.68493914356304,60.0,7.36,68.6,75.46219827202859,Good,10.74705882352941,0.0,0.0,103
D'Wayne Eskridge,WR,2021,56,Western Michigan,73.28694247866397,100.0,6.71,62.1,75.39890110686439,Good,1.6647058823529413,0.0,0.0,104
Skyy Moore,WR,2022,54,Western Michigan,73.9360365676696,90.0,7.58,70.8,75.38563108251917,Good,3.6941176470588233,0.0,0.0,105
D'Andre Swift,RB,2020,35,Georgia,80.64628526255893,33.101365461847394,7.55,70.5,75.38447901935983,Good,12.617647058823527,1.0,0.0,106
Elijah Sarratt,WR,2026,44,Indiana,77.33014043640625,60.0,,68.94822695035461,75.17803071846305,Good,,,,107
Denzel Mims,WR,2020,59,Baylor,72.3295803529313,90.0,9.77,92.69999999999999,75.1151432999916,Good,3.570588235294118,0.0,0.0,108
Parris Campbell,WR,2019,59,Ohio St.,72.3295803529313,90.0,9.76,92.6,75.11014329999159,Good,8.770588235294117,0.0,0.0,109
Chase Claypool,WR,2020,49,Notre Dame,75.60012235068056,60.0,9.98,94.80000000000001,75.00010399807847,Good,13.988235294117647,1.0,0.0,110
Tyler Boyd,WR,2016,55,Pittsburgh,73.61036829159038,100.0,4.27,37.699999999999996,74.45381304785182,Good,13.111764705882353,1.0,0.0,111
Germie Bernard,WR,2026,52,Alabama,74.59433316596373,75.0,,68.94822695035461,74.3525945385869,Good,,,,112
Adonai Mitchell,WR,2024,52,Texas,74.59433316596373,60.0,9.99,94.9,74.15018319106917,Good,3.105882352941176,0.0,0.0,113
T.J. Yeldon,RB,2015,36,Alabama,80.26299861749231,24.93844367015099,7.05,65.5,73.99239319188356,Good,10.18235294117647,0.0,0.0,114
James Washington,WR,2018,60,Oklahoma St.,72.01459586635139,100.0,5.55,50.5,73.73740648639868,Good,7.852941176470588,0.0,0.0,115
Van Jefferson,WR,2020,57,Florida,72.96570404937304,79.73509933774834,,68.94822695035461,73.44176972325965,Good,11.111764705882353,0.0,0.0,116
Nick Chubb,RB,2018,35,Georgia,80.64628526255893,4.109289617486338,9.15,86.5,73.28527143492373,Good,16.552941176470586,1.0,1.0,117
Ronald Jones II,RB,2018,38,USC,79.50835134744189,23.71048394918049,,66.49597701149425,73.27794589081836,Good,0.0,0.0,0.0,118
Antonio Gibson,RB,2020,66,Memphis,70.1649400864357,100.0,,66.49597701149425,72.96499792404505,Good,13.476470588235296,1.0,0.0,119
Chris Brazzell,WR,2026,53,Tennessee,74.26400482294514,60.0,,68.94822695035461,72.5718154470211,Good,,,,120
Kerryon Johnson,RB,2018,43,Auburn,77.68493914356304,32.2520069808028,7.09,65.89999999999999,72.55239897010887,Good,8.200000000000001,0.0,0.0,121
