player_name,position,school,draft_year,pick,round,dc_score,production_score,production_score_raw,production_metric,ras_score,slap_score,delta_vs_dc,production_status,ras_status,breakout_age,nfl_best_ppr,nfl_hit24,nfl_hit12,data_type
ArDarius Stewart,WR,Alabama,2017,79,3,66.36371289664757,19.76401179941003,49.540754109555635,breakout_age,68.9,57.42421574270293,-8.939497153944643,observed,imputed,22.0,16.9,0.0,0.0,backtest
Amara Darboh,WR,Michigan,2017,106,3,59.158487311545166,21.828908554572273,51.56930333817127,breakout_age,96.0,57.218798463418814,-1.9396888481263517,observed,observed,22.0,15.1,0.0,0.0,backtest
Cooper Kupp,WR,Eastern Washington,2017,69,3,69.2641833889955,8.849557522123893,39.9,breakout_age,50.0,54.29163070727186,-14.972552681723649,observed,observed,23.0,554.8,1.0,1.0,backtest
Chad Hansen,WR,California,2017,141,4,50.79080422061093,39.52802359882006,66.05379651860744,breakout_age,73.89999999999999,52.00462746316112,1.2138232425501911,observed,observed,21.0,46.600002,0.0,0.0,backtest
DeAngelo Yancey,WR,Purdue,2017,175,5,43.39418247364378,41.29793510324484,66.7179994348686,breakout_age,90.8,50.08580562851743,6.691623154873646,observed,observed,21.0,0.0,0.0,0.0,backtest
Dede Westbrook,WR,Oklahoma,2017,110,4,58.15392954892286,23.59882005899705,54.079955542832124,breakout_age,48.4,49.779818218599274,-8.374111330323586,observed,observed,22.0,181.5,0.0,0.0,backtest
Ryan Switzer,WR,North Carolina,2017,133,4,52.626376413965254,33.03834808259587,62.29467331409079,breakout_age,48.3,48.05981428559659,-4.566562128368666,observed,observed,21.0,69.4,0.0,0.0,backtest
Mack Hollins,WR,North Carolina,2017,118,4,56.18551835350469,4.129793510324483,30.0,breakout_age,68.9,47.681545631842944,-8.503972721661746,observed,imputed,23.0,154.16,0.0,0.0,backtest
Isaiah McKenzie,WR,Georgia,2017,172,5,44.02338900352743,41.88790560471977,67.22974652087476,breakout_age,68.9,47.327783973236784,3.3043949697093566,observed,imputed,21.0,54.5,0.0,0.0,backtest
Jehu Chesson,WR,Michigan,2017,139,4,51.245903565087225,9.734513274336283,45.0,breakout_age,79.4,47.16673997217396,-4.079163592913268,observed,observed,22.0,3.8,0.0,0.0,backtest
Robert Davis,WR,Georgia St.,2017,209,6,36.527834756947215,37.75811209439528,65.54245048273117,breakout_age,97.89999999999999,45.97971501089474,9.451880253947529,observed,observed,21.0,3.6999998,0.0,0.0,backtest
Shelton Gibson,WR,West Virginia,2017,166,5,45.29445820618241,36.87315634218289,64.80418325318117,breakout_age,39.8,42.786029102455146,-2.5084291037272664,observed,observed,21.0,3.1,0.0,0.0,backtest
