player_name,college,position,height,weight,forty_yard_dash,bench_press,vertical_jump,broad_jump,three_cone,shuttle,RAS_score,rush_attempts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,total_touchdowns,games_played,team_pass_attempts,team_rec_yards,team_rec_tds,rec_yards_share,rec_td_share,dominator_rating,rec_yards_per_team_pass_att,projected_pick,slap_v5_score,dc_score,delta_vs_dc,breakout_age,peak_dominator,teammate_score,early_declare,slap_tier
Hykeem Williams,Colorado,WR,,220.0,,,,,,,,,,,9.0,81.0,0.0,0.0,12.0,356.0,2433.0,17.0,3.3,0.0,1.7,0.23,250,2.4,3.9,-1.5,,1.7,0.0,1.0,Long Shot
Jaquaize Pettaway,East Carolina,WR,,194.0,,,,,,,,4.0,2.0,0.0,13.0,32.0,0.0,0.0,13.0,440.0,3545.0,22.0,0.9,0.0,0.5,0.07,250,2.4,3.9,-1.5,,0.5,0.0,1.0,Long Shot
Shelton Sampson Jr.,Louisiana-Lafayette,WR,,195.0,,,,,,,,,,,32.0,537.0,6.0,6.0,13.0,342.0,2095.0,12.0,25.6,50.0,37.8,1.57,250,25.9,3.9,22.0,20.0,37.8,0.0,1.0,Long Shot
Raymond Cottrell,West Alabama,WR,,210.0,,,,,,,,,,,,13.0,1.0,1.0,,408.0,3520.0,24.0,0.4,4.2,2.3,0.03,250,2.7,3.9,-1.2,,2.3,0.0,1.0,Long Shot
Nathan Leacock,North Carolina,WR,,217.0,,,,,,,,1.0,6.0,0.0,5.0,48.0,0.0,0.0,12.0,355.0,2207.0,13.0,2.2,0.0,1.1,0.14,250,2.4,3.9,-1.5,,1.1,0.0,1.0,Long Shot
Anthony Evans III,Mississippi State,WR,,180.0,,,,,,,,7.0,47.0,0.0,67.0,831.0,4.0,4.0,13.0,390.0,3138.0,20.0,26.5,20.0,23.2,2.13,250,24.7,3.9,20.8,20.0,23.2,0.0,1.0,Long Shot
Jalen Brown,Arkansas,WR,,202.0,,,,,,,,,,,12.0,167.0,2.0,2.0,12.0,381.0,3155.0,22.0,5.3,9.1,7.2,0.44,250,3.3,3.9,-0.6,,7.2,0.0,1.0,Long Shot
Brandon Inniss,Ohio State,WR,,199.0,,,,,,,,3.0,16.0,0.0,36.0,271.0,3.0,3.0,14.0,408.0,3755.0,33.0,7.2,9.1,8.2,0.66,250,3.3,3.9,-0.6,,8.2,0.0,1.0,Long Shot
Ryan Niblett,Texas,WR,,187.0,,,,,,,,5.0,15.0,0.0,8.0,60.0,0.0,0.0,13.0,420.0,3259.0,28.0,1.8,0.0,0.9,0.14,250,2.4,3.9,-1.5,,0.9,0.0,1.0,Long Shot
Cordale Russell,Miami (OH),WR,,210.0,,,,,,,,,,,,153.0,0.0,0.0,14.0,356.0,2075.0,10.0,7.4,0.0,3.7,0.43,250,3.3,3.9,-0.6,,9.7,0.0,1.0,Long Shot
Ayden Williams,Mississippi State,WR,,205.0,,,,,,,,,,,21.0,252.0,0.0,0.0,13.0,390.0,3138.0,20.0,8.0,0.0,4.0,0.65,250,3.9,3.9,0.0,,11.7,0.0,1.0,Long Shot
