player_name,draft_year,pick,round,college,dc_score,breakout_age,breakout_score,RAS,ras_score,athletic_status,slap_score,slap_percentile,delta,hit24_prob,hit12_prob,best_ppg,career_ppg,hit24,hit12,top24_seasons,hit24_display,hit12_display
Chad Williams,2017,98,3,Grambling St.,8.9,18.0,100,9.01,90.1,observed,53.0,81.0,23.6,22.5,12.2,2.4,1.0,0,0,0,0,0
Amara Darboh,2017,106,3,Michigan,8.0,21.0,60,9.6,96.0,observed,39.4,31.0,10.4,8.3,6.3,0.9,0.9,0,0,0,0,0
Dede Westbrook,2017,110,4,Oklahoma,7.6,21.0,60,4.84,48.4,observed,32.1,9.0,3.3,4.6,4.4,10.3,5.1,0,0,0,0,0
Josh Reynolds,2017,117,4,Texas A&M,6.9,18.0,100,9.1,91.0,observed,52.1,78.0,23.7,21.2,11.6,9.2,5.4,0,0,0,0,0
Mack Hollins,2017,118,4,North Carolina,6.8,21.0,60,,,missing,35.5,19.0,7.1,6.0,5.2,9.1,4.1,0,0,0,0,0
Josh Malone,2017,128,4,Tennessee,6.0,18.0,100,7.03,70.3,observed,48.5,66.0,20.5,16.5,9.8,1.1,0.5,0,0,0,0,0
Ryan Switzer,2017,133,4,North Carolina,5.6,19.0,90,4.83,48.3,observed,41.5,41.0,13.7,9.7,7.0,4.1,1.8,0,0,0,0,0
Jehu Chesson,2017,139,4,Michigan,5.2,19.0,90,7.94,79.4,observed,46.0,59.0,18.4,13.7,8.7,0.2,0.2,0,0,0,0,0
Chad Hansen,2017,141,4,California,5.0,21.0,60,7.39,73.9,observed,34.6,16.0,7.1,5.6,4.9,2.7,1.9,0,0,0,0,0
Shelton Gibson,2017,166,5,West Virginia,3.5,19.0,90,3.98,39.8,observed,39.2,28.000000000000004,12.4,8.1,6.2,0.3,0.3,0,0,0,0,0
Rodney Adams,2017,170,5,South Florida,3.3,18.0,100,6.02,60.2,observed,45.7,56.00000000000001,19.1,13.4,8.6,0.0,0.0,0,0,0,0,0
Isaiah McKenzie,2017,172,5,Georgia,3.2,21.0,60,,,missing,33.7,12.0,7.1,5.2,4.7,7.2,3.7,0,0,0,0,0
DeAngelo Yancey,2017,175,5,Purdue,3.0,19.0,90,9.08,90.8,observed,46.6,62.0,20.1,14.3,9.0,0.0,,0,0,0,0,0
Trent Taylor,2017,177,5,Louisiana Tech,2.9,18.0,100,4.0,40.0,observed,42.5,44.0,16.1,10.5,7.3,5.8,1.6,0,0,0,0,0
Robert Davis,2017,209,6,Georgia St.,1.6,18.0,100,9.79,97.9,observed,50.5,72.0,24.7,19.0,10.8,0.2,0.2,0,0,0,0,0
Stacy Coley,2017,219,7,Miami (FL),1.2,19.0,90,4.46,44.6,observed,38.8,22.0,13.2,7.9,6.1,0.0,0.0,0,0,0,0,0
David Moore,2017,226,7,East Central (OK),1.0,18.0,100,8.99,89.9,observed,49.0,69.0,23.5,17.1,10.1,7.1,4.1,0,0,0,0,0
Isaiah Ford,2017,237,7,Virginia Tech,0.6,18.0,100,5.05,50.5,observed,42.9,47.0,17.6,10.9,7.5,3.3,2.1,0,0,0,0,0
Noah Brown,2017,239,7,Ohio St.,0.6,18.0,100,6.88,68.8,observed,45.6,52.0,20.3,13.3,8.5,7.2,3.3,0,0,0,0,0
Malachi Dupre,2017,247,7,LSU,0.3,21.0,60,7.2,72.0,observed,31.9,6.0,6.7,4.5,4.3,0.0,,0,0,0,0,0
D.J. Moore,2018,24,1,Maryland,32.4,18.0,100,9.65,96.5,observed,65.7,100.0,24.5,46.4,21.4,14.0,12.6,1,0,3,1,0
Calvin Ridley,2018,26,1,Alabama,30.6,18.0,100,5.12,51.2,observed,58.0,97.0,17.7,30.9,15.3,16.6,11.6,1,1,3,1,1
Courtland Sutton,2018,40,2,SMU,21.9,20.0,75,9.81,98.1,observed,51.9,85.0,15.9,20.9,11.5,14.6,9.4,1,0,1,1,0
Dante Pettis,2018,44,2,Washington,20.2,18.0,100,,,missing,56.2,91.0,21.1,27.7,14.1,6.1,2.7,0,0,0,0,0
Christian Kirk,2018,47,2,Texas A&M,19.1,18.0,100,6.23,62.3,observed,53.9,88.0,19.3,23.9,12.7,16.8,9.8,1,1,1,1,1
Anthony Miller,2018,51,2,Memphis,17.8,18.0,100,9.27,92.7,observed,57.8,94.0,23.9,30.5,15.1,7.5,4.6,0,0,0,0,0
James Washington,2018,60,2,Oklahoma St.,15.3,18.0,100,5.55,55.5,observed,51.0,79.0,18.4,19.6,11.1,7.9,4.3,0,0,0,0,0
DJ Chark,2018,61,2,LSU,15.0,22.0,45,,,missing,34.3,35.0,1.8,5.5,4.9,6.8,6.9,0,0,0,0,0
Michael Gallup,2018,81,3,Colorado St.,11.2,22.0,45,5.87,58.7,observed,30.2,24.0,-0.4,3.9,4.0,12.5,8.1,0,0,0,0,0
Tre'Quan Smith,2018,91,3,Central Florida,9.7,18.0,100,6.85,68.5,observed,50.1,65.0,20.3,18.4,10.6,7.4,5.2,0,0,0,0,0
Keke Coutee,2018,103,4,Texas Tech,8.3,22.0,45,5.64,56.4,observed,28.4,21.0,-0.8,3.4,3.6,5.3,2.8,0,0,0,0,0
Antonio Callaway,2018,105,4,Florida,8.1,20.0,75,6.2,62.0,observed,39.6,44.0,10.6,8.4,6.4,7.8,3.0,0,0,0,0,0
