player_name,position,school,draft_year,pick,round,slap_v5,slap_v4,dc_score,enhanced_breakout,teammate_score,early_declare_score,delta_v5_dc,delta_v5_v4,breakout_age,peak_dominator,rush_yards,nfl_hit24,nfl_hit12,nfl_first_3yr_ppg,nfl_career_ppg,nfl_best_ppr,data_type,production_score,speed_score_norm,rec_yards,team_pass_att,weight,forty,nfl_best_ppg
Trayveon Williams,RB,Texas A&M,2019,182,6,41.2,41.8,41.9,,,,-0.8,-0.6,,,,0,0,,,21.700000000000003,backtest,39.7,40.5,277.0,439.0,206.0,4.51,1.2764705882352942
Ryquell Armstead,RB,Temple,2019,140,5,38.7,39.5,51.0,,,,-12.3,-0.9,,,,0,0,3.9875,3.9875,51.2,backtest,7.0,68.0,52.0,443.0,220.0,4.45,3.011764705882353
Darwin Thompson,RB,Utah St.,2019,214,6,38.0,45.6,35.6,,,,2.4,-7.7,,,,0,0,,,33.2,backtest,45.4,24.5,351.0,464.0,190.0,,1.9529411764705884
Qadree Ollison,RB,Pittsburgh,2019,152,5,37.7,35.2,48.3,,,,-10.7,2.4,,,,0,0,3.9,3.9,30.7,backtest,12.6,49.3,66.0,315.0,228.0,4.58,1.8058823529411765
Jordan Scarlett,RB,Florida,2019,154,5,37.6,35.6,47.9,,,,-10.3,2.0,,,,0,0,0.9,0.9,0.9,backtest,13.2,50.6,84.0,364.0,208.0,4.47,0.0529411764705882
Rodney Anderson,RB,Oklahoma,2019,211,6,37.3,41.7,36.1,,,,1.1,-4.4,,,,0,0,,,0.0,backtest,38.9,41.8,281.0,433.0,224.0,,0.0
Travis Homer,RB,Miami (FL),2019,204,6,36.3,42.8,37.5,,,,-1.2,-6.5,,,,0,0,,,55.8,backtest,32.9,41.0,186.0,355.0,201.0,4.48,3.282352941176471
Dexter Williams,RB,Notre Dame,2019,194,6,33.2,38.6,39.5,,,,-6.3,-5.5,,,,0,0,,,1.1,backtest,19.1,35.4,133.0,418.0,212.0,4.57,0.0647058823529411
Kerrith Whyte Jr,RB,Florida Atlantic,2019,222,7,31.8,36.2,34.0,,,,-2.2,-4.4,,,,0,0,,,0.0,backtest,26.4,35.6,160.0,364.0,200.0,,0.0
Ty Johnson,RB,Maryland,2019,186,6,30.7,37.2,41.1,,,,-10.4,-6.4,,,,0,0,,,117.0,backtest,5.7,45.8,22.0,241.0,212.0,,6.882352941176471
