rank,player_name,school,projected_pick,age,slap_score,dc_score,breakout_score,ras_score,delta_vs_dc,breakout_status,ras_status,breakout_age_raw,position,production_score,production_status,rec_yards,receptions,team_pass_att,season_year,school_used,overall_rank
19,Samuel Singleton Jr.,Kansas State,250,MISSING,34.87023480197932,28.79046960395864,,66.5,6.079765198020681,,imputed,,RB,30.0,imputed,,,,,Kansas State,117
26,Noah Whittington,Oregon,183,23,34.49551830923864,41.73601754906463,,66.5,-7.240499239825986,,imputed,,RB,10.435741527732374,final_season,98.0,19.0,437.0,2025.0,Oregon,118
27,Sedrick Alexander,Vanderbilt,250,MISSING,34.40356813531265,28.79046960395864,,66.5,5.613098531354012,,imputed,,RB,28.666666666666664,final_season,200.0,19.0,400.0,2025.0,Vanderbilt,119
93,Omar Cooper Jr.,Indiana,76,21,34.15564293305121,5.641285866102424,60.0,68.9,28.514357066948786,observed,imputed,21.0,WR,,,,,,,,120
28,Jaydn Ott,California,250,22,33.94236123876093,28.79046960395864,,66.5,5.15189163480229,,imputed,,RB,27.348932676518885,no_final_season_data,222.0,24.0,464.0,2024.0,California,121
94,Antonio Williams,Clemson,85,MISSING,33.82295766740161,4.97591533480322,60.0,68.9,28.84704233259839,observed,imputed,21.0,WR,,,,,,,,122
95,Skyler Bell,UConn,88,23,33.72357419968499,4.7771483993699695,60.0,68.9,28.94642580031502,observed,imputed,21.0,WR,,,,,,,,123
96,Malachi Fields,Notre Dame,89,22,33.69156836367429,4.713136727348583,60.0,68.9,28.97843163632571,observed,imputed,21.0,WR,,,,,,,,124
97,Brenen Thompson,Mississippi State,113,22,33.055912345615276,3.4418246912305497,60.0,68.9,29.614087654384726,observed,imputed,21.0,WR,,,,,,,,125
98,Ted Hurst,Georgia State,132,MISSING,32.681092985168,2.692185970336002,60.0,68.9,29.988907014831998,observed,imputed,21.0,WR,,,,,,,,126
99,Bryce Lance,North Dakota State,150,23,32.39389109913941,2.117782198278818,60.0,68.9,30.276108900860592,observed,imputed,21.0,WR,,,,,,,,127
100,Eric McAlister,TCU,171,22,32.11795646007765,1.5659129201553017,60.0,68.9,30.552043539922348,observed,imputed,21.0,WR,,,,,,,,128
101,Eric Rivers,Georgia Tech,178,22,32.03701900806299,1.4040380161259831,60.0,68.9,30.632980991937007,observed,imputed,21.0,WR,,,,,,,,129
102,Lewis Bond,Boston College,185,22,31.960719898842964,1.2514397976859226,60.0,68.9,30.70928010115704,observed,imputed,21.0,WR,,,,,,,,130
103,Josh Cameron,Baylor,194,MISSING,31.868756034978972,1.067512069957944,60.0,68.9,30.80124396502103,observed,imputed,21.0,WR,,,,,,,,131
