player_name,draft_year,pick,breakout_age,peak_dominator,score_current,score_option_a,score_option_b,score_option_c,best_ppr,hit24,dc_score
Drake London,2022,8,20.0,30.3,75,71.0,80.0,75.0,280.8,1,93.68781610895526
Jalen Nailor,2022,191,20.0,30.8,75,71.0,80.0,75.0,111.3,0,40.10518084262188
Jaxon Smith-Njigba,2023,20,20.0,32.4,75,71.0,80.0,75.0,251.6,1,87.02377097693456
Rashard Higgins,2016,172,20.0,238.01,75,75.1403,80.0,79.83454285714285,139.5,0,44.02338900352743
Ricardo Louis,2016,114,20.0,228.43,75,74.8529,80.0,79.5882,62.7,0,57.16316107479519
Garrett Wilson,2022,10,20.0,34.4,75,71.0,80.0,75.0,251.9,1,92.39513479671196
Jahan Dotson,2022,16,20.0,38.5,75,71.0,80.0,75.0,130.6,0,89.01046080303611
Damion Ratley,2018,175,20.0,41.49,75,71.0,80.0,75.0,38.0,0,43.39418247364378
Deon Cain,2018,185,20.0,110.23,75,71.3069,80.0,76.54877142857143,21.4,0,41.325810352464025
Ray-Ray McCloud,2018,187,20.0,45.08,75,71.0,80.0,75.0,142.5,0,40.917284913571535
John Metchie,2022,44,20.0,22.5,75,71.0,80.0,75.0,65.7,0,77.33014043640625
Antonio Callaway,2018,105,20.0,148.89,75,72.4667,80.0,77.54288571428572,132.3,0,59.41186469623246
Courtland Sutton,2018,40,20.0,235.52,75,75.0656,80.0,79.77051428571428,247.6,1,78.76865523265029
A.T. Perry,2023,195,20.0,30.0,75,71.0,80.0,75.0,60.6,0,39.29951449939654
Malik Nabers,2024,6,20.0,35.6,75,71.0,80.0,75.0,273.6,1,95.11104923064929
Rome Odunze,2024,9,20.0,31.8,75,71.0,80.0,75.0,144.9,0,93.02779892479941
Ricky Pearsall,2024,31,20.0,31.4,75,71.0,80.0,75.0,93.5,0,82.22305120306456
Erik Ezukanma,2022,125,20.0,27.9,75,71.0,80.0,75.0,2.2,0,54.50441856810307
Calvin Austin III,2022,138,20.0,32.1,75,71.0,80.0,75.0,60.4,0,51.47438583883613
Johnny Wilson,2024,185,20.0,25.5,75,71.0,80.0,75.0,14.8,0,41.325810352464025
Antonio Gandy-Golden,2020,142,20.0,37.2,75,71.0,80.0,75.0,3.5,0,50.56417497245892
Nelson Agholor,2015,20,20.0,211.83,75,74.3549,80.0,79.16134285714286,222.1,1,87.02377097693456
Breshad Perriman,2015,26,20.0,188.86,75,73.6658,80.0,78.57068571428572,138.1,0,84.3076609651975
Dorial Green-Beckham,2015,40,20.0,182.82,75,73.4846,80.0,78.41537142857143,112.9,0,78.76865523265029
Ladd McConkey,2024,34,20.0,17.2,75,71.0,80.0,75.0,275.6,1,81.03375665926983
Devaughn Vele,2024,235,21.0,27.5,60,61.0,70.0,65.0,106.5,0,31.560854097950696
Anthony Gould,2024,142,21.0,22.8,60,61.0,70.0,65.0,3.3000000000000003,0,50.56417497245892
Xavier Legette,2024,32,21.0,37.6,60,61.0,70.0,65.0,125.1,0,81.82194951930317
Ja'Lynn Polk,2024,37,21.0,22.5,60,61.0,70.0,65.0,32.7,0,79.88373711084623
Jamari Thrash,2024,156,21.0,25.9,60,61.0,70.0,65.0,5.2,0,47.452429780384286
Bub Means,2024,170,21.0,27.8,60,61.0,70.0,65.0,26.8,0,44.44517844407706
Malik Washington,2024,184,21.0,47.4,60,61.0,70.0,65.0,56.8,0,41.53070215783976
Casey Washington,2024,187,21.0,21.0,60,61.0,70.0,65.0,2.4000000000000004,0,40.917284913571535
Chase Claypool,2020,49,21.0,31.6,60,61.0,70.0,65.0,237.8,1,75.60012235068056
