player_name,position,draft_year,pick,seasons_played,best_rank,best_ppr,hit24,hit12,RAS,breakout_age,has_ras,best_ppg,log_pick,round,p_observed,ipw,ipw_stable,p_missing,ps_stratum,dc_raw,dc_norm,breakout_score,breakout_norm,ras_norm,slap_mnar,athletic_method,ras_naive,ras_naive_norm,slap_naive
Elijah Moore,WR,2021,34,3,54.0,138.19999998807907,0,0,8.69,19.0,1,8.12941176400465,3.526360524616161,Rd 2,0.8137517237265355,1.2288760451659013,1.2288760451659013,0.18624827627346457,Q5-High,0.17149858514250882,59.81939759830194,90,63.62218280635726,58.790419448837746,60.99602569870167,RAS observed,8.69,59.556193437311954,61.1108917969728
Rondale Moore,WR,2021,49,3,62.0,119.29999947547913,0,0,9.33,18.0,1,7.01764702796936,3.8918202981106265,Rd 2,0.8289434453642353,1.2063549155161037,1.2063549155161037,0.17105655463576475,Q4,0.14285714285714285,54.065946010369196,100,69.41603328568453,64.14747012778975,60.950705174342644,RAS observed,9.33,65.37992151303163,61.135572882128926
D'Wayne Eskridge,WR,2021,56,3,146.0,28.299999833106995,0,0,6.71,20.0,1,1.6647058725357056,4.025351690735149,Rd 2,0.8342434016134233,1.1986909312869651,1.1986909312869651,0.16575659838657675,Q4,0.1336306209562122,52.21253560760018,75,54.931407087366345,42.21704391083001,51.664816871002806,RAS observed,6.71,41.53903470305423,51.56311548983644
Tutu Atwell,WR,2021,57,2,59.0,123.2,0,0,6.25,19.0,1,7.247058823529412,4.04305126783455,Rd 2,0.8349359447901515,1.1976966691155388,1.1976966691155388,0.16506405520984843,Q4,0.13245323570650439,51.9760241579655,90,63.62218280635726,38.366663735333255,54.01077562150777,RAS observed,6.25,37.353230148630715,53.85876058350239
Terrace Marshall Jr.,WR,2021,59,3,90.0,83.0,0,0,9.76,20.0,1,4.882352941176471,4.07753744390572,Rd 2,0.8362786375687272,1.19577369919104,1.19577369919104,0.16372136243127278,Q4,0.13018891098082389,51.521169875183155,75,54.931407087366345,67.74673855271061,55.14858820107639,RAS observed,9.76,69.29273881390579,55.38048824025567
Josh Palmer,WR,2021,77,3,39.0,174.4,0,0,7.59,18.0,1,10.258823529411766,4.343805421853684,Rd 3,0.8463511768293002,1.1815426354652416,1.1815426354652416,0.15364882317069986,Q4,0.11396057645963795,48.26124545901202,100,69.41603328568453,49.582988594389,55.863682668653944,RAS observed,7.59,49.54666080716878,55.85823350057091
Dyami Brown,WR,2021,82,3,133.0,34.96,0,0,8.38,19.0,1,2.0564705882352943,4.406719247264253,Rd 3,0.8486557440908505,1.178334097144752,1.178334097144752,0.15134425590914946,Q3,0.11043152607484653,47.552334911212995,90,63.62218280635726,56.19559802622038,54.473271141764585,RAS observed,8.38,56.735325150635255,54.55423021042682
Amari Rodgers,WR,2021,85,3,123.0,43.1,0,0,5.35,20.0,1,2.5352941176470587,4.442651256490317,Rd 3,0.8499591652501006,1.1765271096356138,1.1765271096356138,0.15004083474989943,Q3,0.10846522890932808,47.157347974571195,75,54.931407087366345,30.83331121805701,47.42966315057237,RAS observed,5.35,29.16361254214993,47.17920834918631
Nico Collins,WR,2021,89,3,7.0,294.2,1,1,9.57,19.0,1,17.305882352941175,4.48863636973214,Rd 3,0.8516137580324896,1.1742412455974547,1.1742412455974547,0.1483862419675104,Q3,0.105999788000636,46.662093763217584,90,63.62218280635726,66.15636413239675,55.522265483693346,RAS observed,9.57,67.56381954142651,55.73338379504781
Anthony Schwartz,WR,2021,91,2,137.0,33.39999985694885,0,0,6.89,20.0,1,1.9647058739381678,4.51085950651685,Rd 3,0.8524079551819816,1.1731471931025195,1.1731471931025195,0.14759204481801835,Q3,0.10482848367219183,46.42680384026971,75,54.931407087366345,43.723714414285254,48.99795156285587,RAS observed,6.89,43.176958224350386,48.91593813436563
Dez Fitzpatrick,WR,2021,109,1,163.0,15.900000095367432,0,0,8.81,21.0,1,0.9352941232569078,4.6913478822291435,Rd 4-5,0.8587285198084499,1.164512388878225,1.164512388878225,0.14127148019155014,Q3,0.09578262852211514,44.609685513654924,60,46.24063136837544,59.79486645114125,47.45829370343005,RAS observed,8.81,60.6481424515094,47.586285103485274
Amon-Ra St. Brown,WR,2021,112,3,6.0,333.2,1,1,7.13,18.0,1,19.599999999999998,4.718498871295094,Rd 4-5,0.8596595108863458,1.163251249287008,1.163251249287008,0.1403404891136541,Q3,0.0944911182523068,44.350248794699716,100,69.41603328568453,45.732608418892255,53.330627310173284,RAS observed,7.13,45.360856252745265,53.274864485251236
Jaelon Darden,WR,2021,129,2,175.0,11.399999976158142,0,0,7.14,20.0,1,0.6705882338916554,4.859812404361672,Rd 4-5,0.8644224312461185,1.156841798469341,1.156841798469341,0.1355775687538815,Q3,0.08804509063256238,43.05538007003266,75,54.931407087366345,45.81631233575088,47.62612936595718,RAS observed,7.14,45.45185200392838,47.5714603161838
Tylan Wallace,WR,2021,131,3,179.0,8.1,0,0,4.71,20.0,1,0.4764705882352941,4.875197323201151,Rd 4-5,0.8649326632290357,1.1561593665184526,1.1561593665184526,0.1350673367709643,Q3,0.0873704056661038,42.91985032774699,75,54.931407087366345,25.47626053910501,44.50735672531747,RAS observed,4.71,23.339884466430263,44.18690031441626
Jacob Harris,WR,2021,141,1,212.0,1.6,0,0,9.88,,1,0.09411764705882353,4.948759890378168,Rd 4-5,0.8673499646120912,1.152937154320672,1.152937154320672,0.13265003538790876,Q3,0.0842151921066519,42.28603558186143,25,25.96215469072998,68.75118555501413,40.54244976593832,RAS observed,9.88,70.38468782810324,40.78747510690169
Ihmir Smith-Marsette,WR,2021,157,3,141.0,32.5,0,0,6.81,20.0,1,1.911764705882353,5.056245805348308,Rd 6-7,0.8708160210175514,1.1483481882102913,1.1483481882102913,0.12918397898244863,Q2,0.07980868844676221,41.40086348659381,75,54.931407087366345,43.05408307941625,46.384536685787566,RAS observed,6.81,42.44899221488543,46.293773056107945
Simi Fehoko,WR,2021,179,2,180.0,7.9,0,0,9.18,22.0,1,0.4647058823529412,5.187385805840755,Rd 6-7,0.8749400795113207,1.1429354117124557,1.1429354117124557,0.12505992048867925,Q2,0.07474350927519359,40.383377605210136,45,37.549855649384526,62.89191137491037,42.767924986126204,RAS observed,9.18,64.01498524528483,42.936386066682374
Cornell Powell,WR,2021,181,0,,0.0,0,0,7.57,22.0,1,0.0,5.198497031265825,Rd 6-7,0.8752842664803023,1.1424859766087254,1.1424859766087254,0.12471573351969767,Q2,0.07432941462471664,40.30019486948741,45,37.549855649384526,49.41558076067175,40.70488402612905,RAS observed,7.57,49.36466930480254,40.69724730774867
Frank Darby,WR,2021,187,2,206.0,2.5,0,0,5.89,,1,0.14705882352941177,5.231108616854587,Rd 6-7,0.8762897713835339,1.1411750229848576,1.1411750229848576,0.12371022861646609,Q2,0.07312724241271307,40.058704250641924,25,25.96215469072998,35.353322728422754,34.41910467633987,RAS observed,5.89,34.0773831060384,34.22771373298221
Marquez Stevenson,WR,2021,203,0,,0.0,0,0,5.37,20.0,1,0.0,5.313205979041787,Rd 6-7,0.8787902659621003,1.1379279433701956,1.1379279433701956,0.12120973403789964,Q2,0.07018624063435965,39.467920058170364,75,54.931407087366345,31.00071905177426,43.61006036742954,RAS observed,5.37,29.345604044516175,43.36179311634083
Shi Smith,WR,2021,204,2,106.0,61.6,0,0,6.78,21.0,1,3.623529411764706,5.318119993844216,Rd 6-7,0.8789385447188507,1.1377359725643545,1.1377359725643545,0.12106145528114926,Q1-Low,0.07001400420140048,39.43332145210732,60,46.24063136837544,42.802971328840385,42.32132740431113,RAS observed,6.78,42.176004961336076,42.22728244918548
Racey McMath,WR,2021,205,2,182.0,6.4,0,0,7.43,,1,0.3764705882352941,5.323009979138408,Rd 6-7,0.8790859431036565,1.1375452057274973,1.1375452057274973,0.12091405689634346,Q1-Low,0.06984302957695782,39.3989763163179,25,25.96215469072998,48.243725924651,36.02280118861209,RAS observed,7.43,48.090728788238856,35.99985161815027
Jalen Camp,WR,2021,209,1,209.0,1.7000000000000002,0,0,9.75,,1,0.1,5.342334251964811,Rd 6-7,0.8796669192313147,1.136793913853026,1.136793913853026,0.12033308076868537,Q1-Low,0.06917144638660747,39.26406965434004,25,25.96215469072998,67.663034635852,38.86824416430331,RAS observed,9.75,69.20174306272267,39.09905042833392
Seth Williams,WR,2021,219,1,202.0,4.400000095367432,0,0,6.86,19.0,1,0.25882353502161365,5.389071729816501,Rd 6-7,0.8810621060081724,1.134993768521835,1.134993768521835,0.11893789399182764,Q1-Low,0.06757373783994859,38.94312426746876,90,63.62218280635726,43.47260266370938,48.26021651551582,RAS observed,6.86,42.90397097080103,48.17492176157957
Dazz Newsome,WR,2021,221,1,204.0,4.299999952316284,0,0,2.13,20.0,1,0.25294117366566377,5.3981627015177525,Rd 6-7,0.8813318547904083,1.1346463815696444,1.1346463815696444,0.11866814520959172,Q1-Low,0.06726727939963124,38.881563338290974,75,54.931407087366345,3.880649989579773,39.24887164816067,RAS observed,2.13,-0.13701933881465322,38.64622124890151
Mike Strachan,WR,2021,229,3,175.0,8.9,0,0,9.22,,1,0.5235294117647059,5.433722003554239,Rd 6-7,0.8823818954878562,1.1332961443492837,1.1332961443492837,0.11761810451214381,Q1-Low,0.06608186004550898,38.64343800935718,25,25.96215469072998,63.226727042344876,37.892482202785814,RAS observed,9.22,64.37896825001732,38.065318383936685
Tre Nixon,WR,2021,242,0,,0.0,0,0,8.97,21.0,1,0.0,5.488937726156686,Rd 6-7,0.883996411696925,1.1312263112928183,1.1312263112928183,0.11600358830307494,Q1-Low,0.0642824346533225,38.281972033695354,60,46.24063136837544,61.13412912087925,44.49532636391097,RAS observed,8.97,62.10407447043932,44.640818166344985
Ben Skowronek,WR,2021,249,3,88.0,84.30000000000001,0,0,,,0,4.958823529411766,5.517452896464707,Rd 6-7,0.884822637329405,1.1301699999654466,1.1301699999654466,0.11517736267059495,Q1-Low,0.06337242505244779,38.09917061849352,25,25.96215469072998,,33.09872005625494,Pattern mixture (opt-out),7.639819819819819,49.99999999999999,35.63633945100225
Kawaan Baker,WR,2021,255,0,,0.0,0,0,9.08,20.0,1,0.0,5.541263545158426,Rd 6-7,0.8855086235420322,1.129294479369385,1.129294479369385,0.11449137645796775,Q1-Low,0.06262242910851495,37.94851251574956,75,54.931407087366345,62.05487220632412,47.508479569401615,RAS observed,9.08,63.10502773345364,47.66600289847104
Dax Milne,WR,2021,258,2,157.0,15.7,0,0,4.56,21.0,1,0.9235294117647058,5.552959584921617,Rd 6-7,0.8858442824831947,1.1288665737016494,1.1288665737016494,0.11415571751680526,Q1-Low,0.062257280636469035,37.87516201770578,60,46.24063136837544,24.220701786225632,38.75490725571814,RAS observed,4.56,21.974948198683464,38.41804421758681
Drake London,WR,2022,8,3,7.0,280.8,1,1,,19.0,0,16.51764705882353,2.0794415416798357,Rd 1,0.7435441417023047,1.34491006507099,1.34491006507099,0.25645585829769535,Q5-High,0.35355339059327373,96.3903041565471,90,63.62218280635726,,82.88983816026888,Pattern mixture (opt-out),7.639819819819819,49.99999999999999,77.96291606049859
Garrett Wilson,WR,2022,10,3,16.0,251.9,1,0,7.77,20.0,1,14.81764705882353,2.3025850929940455,Rd 1,0.75541744408493,1.323771390017798,1.323771390017798,0.24458255591507003,Q5-High,0.31622776601683794,88.89238656391242,75,54.931407087366345,51.08965909784425,71.33563462721106,RAS observed,7.77,51.18458432846493,71.34987341180417
Chris Olave,WR,2022,11,3,21.0,231.3,1,0,8.64,19.0,1,13.605882352941178,2.3978952727983707,Rd 1,0.7603740929172167,1.3151421245343138,1.3151421245343138,0.23962590708278325,Q5-High,0.30151134457776363,85.93617306552338,90,63.62218280635726,58.37189986454463,73.99163549466842,RAS observed,8.64,59.10121468139637,74.10103271719618
Jameson Williams,WR,2022,12,6,6.0,294.1,1,1,,20.0,0,17.3,2.4849066497880004,Rd 1,0.7648387109261925,1.3074652024203057,1.3074652024203057,0.23516128907380748,Q5-High,0.2886751345948129,83.35765373072088,75,54.931407087366345,,71.64604011365881,Pattern mixture (opt-out),7.639819819819819,49.99999999999999,68.40481934593866
