player_id,player_display_name,position,recent_team,games,receptions,targets,receiving_yards,receiving_tds,carries,rushing_yards,rushing_tds,fantasy_points_ppr,season,fantasy_ppg
00-0036427,Tyler Johnson,WR,NYJ,9,12.0,18.0,197.0,1.0,0.0,0.0,0.0,37.7,2025,4.188888888888889
00-0036497,Tim Jones,WR,JAX,1,1.0,1.0,15.0,0.0,0.0,0.0,0.0,2.5,2025,2.5
00-0036550,Rashod Bateman,WR,BAL,13,19.0,39.0,224.0,2.0,0.0,0.0,0.0,53.400000000000006,2025,4.107692307692308
00-0036554,Nico Collins,WR,HOU,15,71.0,121.0,1117.0,6.0,2.0,15.0,1.0,226.20000000000002,2025,15.080000000000002
00-0036555,Chuba Hubbard,RB,CAR,15,30.0,39.0,223.0,3.0,135.0,511.0,1.0,127.4,2025,8.493333333333334
00-0036567,Elijah Mitchell,RB,NE,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,0.0
00-0036613,Jaylen Waddle,WR,MIA,16,64.0,100.0,910.0,6.0,2.0,28.0,0.0,193.8,2025,12.1125
00-0036620,Dee Eskridge,WR,MIA,5,4.0,7.0,62.0,0.0,0.0,0.0,0.0,10.2,2025,2.04
00-0036626,Dyami Brown,WR,JAX,11,20.0,37.0,227.0,1.0,6.0,30.0,0.0,51.699999999999996,2025,4.699999999999999
00-0036630,Tylan Wallace,WR,BAL,6,4.0,8.0,45.0,1.0,0.0,0.0,0.0,14.5,2025,2.4166666666666665
00-0036727,Adam Prentice,RB,DEN,12,6.0,8.0,53.0,0.0,10.0,44.0,0.0,15.700000000000001,2025,1.3083333333333333
00-0036755,Jaret Patterson,RB,LAC,6,3.0,4.0,8.0,0.0,41.0,159.0,1.0,25.7,2025,4.283333333333333
00-0036841,Austin Trammell,WR,JAX,5,3.0,10.0,46.0,0.0,0.0,0.0,0.0,7.6000000000000005,2025,1.52
00-0036842,Kene Nwangwu,RB,NYJ,2,0.0,1.0,0.0,0.0,13.0,49.0,0.0,4.9,2025,2.45
00-0036849,Tutu Atwell,WR,LA,8,6.0,15.0,192.0,1.0,0.0,0.0,0.0,31.2,2025,3.9
00-0036862,Ben Skowronek,WR,PIT,6,4.0,6.0,69.0,1.0,0.0,0.0,0.0,16.9,2025,2.8166666666666664
00-0036875,Rhamondre Stevenson,RB,NE,14,32.0,38.0,345.0,2.0,131.0,603.0,7.0,180.8,2025,12.914285714285715
00-0036893,Najee Harris,RB,LAC,3,3.0,3.0,25.0,0.0,15.0,61.0,0.0,11.600000000000001,2025,3.866666666666667
00-0036900,Ja'Marr Chase,WR,CIN,16,125.0,185.0,1412.0,8.0,3.0,14.0,0.0,315.6,2025,19.725
00-0036906,Khalil Herbert,RB,NYJ,3,1.0,4.0,4.0,0.0,16.0,52.0,0.0,6.6,2025,2.1999999999999997
00-0036912,DeVonta Smith,WR,PHI,17,77.0,114.0,1008.0,4.0,0.0,0.0,0.0,201.79999999999998,2025,11.870588235294116
00-0036919,Kenneth Gainwell,RB,PIT,17,73.0,85.0,486.0,3.0,114.0,537.0,5.0,223.3,2025,13.13529411764706
00-0036924,Michael Carter,RB,ARI,13,33.0,45.0,267.0,0.0,92.0,333.0,1.0,99.0,2025,7.615384615384615
00-0036959,Michael Bandy,WR,DEN,3,4.0,4.0,50.0,1.0,0.0,0.0,0.0,15.0,2025,5.0
00-0036963,Amon-Ra St. Brown,WR,DET,17,117.0,172.0,1401.0,11.0,3.0,9.0,0.0,324.0,2025,19.058823529411764
00-0036973,Travis Etienne,RB,JAX,17,36.0,52.0,292.0,6.0,260.0,1107.0,7.0,253.9,2025,14.935294117647059
00-0036980,Elijah Moore,WR,DEN,9,9.0,17.0,112.0,0.0,6.0,24.0,1.0,28.599999999999998,2025,3.1777777777777776
00-0036988,Josh Palmer,WR,BUF,12,22.0,37.0,303.0,0.0,0.0,0.0,0.0,52.300000000000004,2025,4.358333333333333
00-0036997,Javonte Williams,RB,DAL,16,35.0,51.0,137.0,2.0,252.0,1201.0,11.0,246.8,2025,15.425
00-0037085,Tyler Badie,RB,DEN,14,19.0,31.0,141.0,0.0,8.0,23.0,0.0,35.4,2025,2.5285714285714285
00-0037093,Dareke Young,WR,SEA,3,2.0,3.0,48.0,0.0,0.0,0.0,0.0,6.8,2025,2.2666666666666666
00-0037098,Samori Toure,WR,NO,1,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.3,2025,1.3
00-0037120,Tyler Goodson,RB,IND,7,2.0,3.0,8.0,0.0,9.0,24.0,0.0,5.2,2025,0.7428571428571429
00-0037132,Britain Covey,WR,PHI,1,2.0,4.0,20.0,0.0,0.0,0.0,0.0,4.0,2025,4.0
00-0037157,Bam Knight,RB,ARI,10,22.0,31.0,160.0,1.0,83.0,269.0,4.0,94.9,2025,9.49
00-0037197,Isiah Pacheco,RB,KC,13,19.0,26.0,101.0,1.0,118.0,462.0,1.0,87.30000000000001,2025,6.715384615384616
00-0037228,Jaylen Warren,RB,PIT,16,40.0,45.0,333.0,2.0,211.0,958.0,6.0,217.1,2025,13.56875
00-0037231,Kevin Austin Jr.,WR,NO,5,13.0,23.0,140.0,1.0,0.0,0.0,0.0,33.0,2025,6.6
00-0037238,Drake London,WR,ATL,12,68.0,113.0,919.0,7.0,0.0,0.0,0.0,201.9,2025,16.825
00-0037239,Chris Olave,WR,NO,16,100.0,156.0,1163.0,9.0,1.0,-3.0,0.0,270.0,2025,16.875
00-0037240,Jameson Williams,WR,DET,17,65.0,102.0,1109.0,7.0,6.0,12.0,0.0,219.1,2025,12.888235294117647
00-0037247,George Pickens,WR,DAL,17,93.0,138.0,1429.0,9.0,0.0,0.0,0.0,289.9,2025,17.052941176470586
00-0037248,James Cook,RB,BUF,17,33.0,40.0,291.0,2.0,309.0,1621.0,12.0,308.2,2025,18.129411764705882
00-0037256,Rachaad White,RB,TB,17,40.0,45.0,218.0,0.0,133.0,572.0,4.0,143.0,2025,8.411764705882353
00-0037258,Dameon Pierce,RB,KC,3,0.0,1.0,0.0,0.0,14.0,36.0,0.0,3.6,2025,1.2
